"MED_SCH_DATA_ID","ENTITY_ID","LABEL_FLAG","GRAD_STATUS","SCHOOL_NAME","GRAD_DT","SCHOOL_CD","INSERT_DTM","INSERT_USER_ID","END_DT","CITY","STATE_CD","ZIP","AMA_SCHOOL_CD","SEGMENT_ONLY_IND","COUNTRY_NAME","MATRICULATION_DT","DEGREE_CD","NSC_IND","NSC_DATE","NSC_USER_ID"
8806468,74997702,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806469,75088949,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806470,75093109,"D","Enrolled   ","New York Institute of Technology College of Osteo Med at Arkansas State",2024-05-140,"00475     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"State Univ                  ","AR","72467     ",48615420,,"United States of America                                                   ",2020-08-223,"DO","N",,
8806471,75160527,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2023-05-125,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2019-07-207,"DO","N",,
8806472,75189855,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2024-05-140,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2020-08-223,"DO","N",,
8806473,75194626,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2026-05-137,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2022-08-220,"DO","N",,
8806474,75344802,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806475,75370152,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2026-05-137,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2022-08-220,"DO","N",,
8806476,75400390,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806477,75411817,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2025-05-122,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2021-07-210,"DO","N",,
8806479,75437622,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806480,75453898,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2025-05-138,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2021-08-221,"DO","N",,
8806481,75456680,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806482,75463180,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806483,75499515,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806484,75598523,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806485,75610444,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2026-05-137,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2022-08-220,"DO","N",,
8806486,75689900,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2025-05-122,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2021-07-210,"DO","N",,
8806487,75717135,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806488,75780185,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2019-07-207,"DO","N",,
8806489,75781303,"D","Yes        ","New York Institute of Technology College of Osteopathic Medicine",2022-05-142,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2017-08-219,"DO","N",,
8806490,75790637,"D","Enrolled   ","New York Institute of Technology College of Osteo Med at Arkansas State",2024-05-140,"00475     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"State Univ                  ","AR","72467     ",48615420,,"United States of America                                                   ",2020-08-223,"DO","N",,
8806491,75825425,"D","Enrolled   ","New York Institute of Technology College of Osteo Med at Arkansas State",2025-05-138,"00475     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"State Univ                  ","AR","72467     ",48615420,,"United States of America                                                   ",2021-08-221,"DO","N",,
8806478,75424297,"D","Enrolled   ","New York Institute of Technology College of Osteo Med at Arkansas State",2024-05-140,"00475     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"State Univ                  ","AR","72467     ",48615420,,"United States of America                                                   ",2020-08-223,"DO","N",,
8806493,75872095,"D","Enrolled   ","New York Institute of Technology College of Osteo Med at Arkansas State",2024-05-140,"00475     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"State Univ                  ","AR","72467     ",48615420,,"United States of America                                                   ",2020-08-223,"DO","N",,
8806494,75885589,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2025-05-138,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2021-08-221,"DO","N",,
8806495,75979852,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2026-05-137,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2022-08-220,"DO","N",,
8806496,76082396,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806497,56007078,"D","Yes        ","University of Sharjah College of Medicine",2021-01-01,"91604     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Sharjah                     ",,"          ",45714704,,"United Arab Emirates",,"MD","N",,
8806498,76627668,"D","Yes        ","Midwestern University-Chicago College of Osteopathic Medicine",2013-05-144,"01676     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Downers Grove               ","IL","60515     ",14795699,,"United States of America                                                   ",2009-08-222,"DO","Y",,
8806499,76628214,"D","Yes        ","Indiana University School of Medicine",2020-04-106,"01720     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Indianapolis                ","IN","46202     ",14795790,,"United States of America                                                   ",2016-08-221,"MD","N",,
8806500,47241736,"D","Yes        ","Duke-National University of Singapore Graduate Medical School",2017-01-01,"82502     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Singapore                   ",,"169547    ",42668440,,"Singapore                                                                  ",,"MD","N",,
8806501,48294606,"D","Yes        ","Medicinski Fakultet, Sveucilista u Zagrebu",2014-01-01,"95701     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Zagreb                      ",,"          ",14816434,,"Croatia                                                                    ",,"MD","N",,
8806502,48072072,"D","Yes        ","Sri Ramachandra Medical College and Research Institute",2017-01-01,"49623     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Madras                      ",,"          ",14807438,,"India",,"MD","N",,
8806503,48011193,"D","Yes        ","Aureus University School of Medicine",2019-01-01,"10702     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Oranjestad                  ",,"          ",44115561,,"Aruba                                                                      ",,"MD","N",,
8806504,48735618,"D","Yes        ","Ameer-ud-Din Medical College",2018-01-01,"70482     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Lahore                      ",,"          ",76639758,,"Pakistan",,"MD","N",,
8806505,74220640,"D","Yes        ","Midwestern University-Arizona College of Osteopathic Medicine",2016-05-141,"00375     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Glendale                    ","AZ","85308     ",14794763,,"United States of America                                                   ",2012-08-219,"DO","N",,
8806492,75841870,"D","Enrolled   ","New York Institute of Technology College of Osteo Med at Arkansas State",2025-08-230,"00475     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"State Univ                  ","AR","72467     ",48615420,,"United States of America                                                   ",2021-08-221,"DO","N",,
8806507,74270651,"D","Yes        ","Univ of North Texas Health Science Center Texas College of Osteopathic Med",2019-06-172,"04878     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Fort Worth                  ","TX","76107     ",14798312,,"United States of America                                                   ",2015-07-187,"DO","N",,
8806508,74283430,"D","Yes        ","Des Moines University College of Osteopathic Medicine",2020-05-143,"01875     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Des Moines                  ","IA","50312     ",14795907,,"United States of America                                                   ",2016-08-218,"DO","N",,
8806509,74972157,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2026-05-151,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2022-07-206,"DO","N",,
8806510,74981387,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2025-05-151,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2021-07-200,"DO","N",,
8806511,75036208,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2025-05-151,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2021-07-200,"DO","N",,
8806512,75043761,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2026-05-151,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2022-07-206,"DO","N",,
8806513,75057814,"D","Enrolled   ","Oklahoma State Univ Center for Health Sciences College of Osteopathic Med",2026-05-129,"03979     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Tulsa                       ","OK","74107     ",14797701,,"United States of America                                                   ",2022-08-213,"DO","N",,
8806514,75061545,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2019-07-203,"DO","N",,
8806515,75097061,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2019-07-203,"DO","N",,
8806516,75171967,"D","Enrolled   ","Burrell College of Osteopathic Medicine",2025-05-129,"03475     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Las Cruces                  ","NM","88003     ",47444887,,"United States of America                                                   ",2019-07-203,"DO","N",,
8806517,75224669,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2022-07-201,"DO","N",,
8806518,75303670,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2020-07-202,"DO","N",,
8806519,75325757,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2026-05-151,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2022-07-206,"DO","N",,
8806506,74249110,"D","Yes        ","Univ of North Texas Health Science Center Texas College of Osteopathic Med",2018-06-166,"04878     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Fort Worth                  ","TX","76107     ",14798312,,"United States of America                                                   ",2014-07-188,"DO","N",,
8806521,75385102,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2020-07-202,"DO","N",,
8806522,75391966,"D","Enrolled   ","Campbell University Jerry M Wallace School of Osteopathic Medicine",2026-05-121,"03675     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Buies Creek                 ","NC","27506     ",45713872,,"United States of America                                                   ",2022-08-213,"DO","N",,
8806523,75465312,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2020-07-202,"DO","N",,
8806524,75883015,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2020-07-202,"DO","N",,
8806525,75885160,"D","Enrolled   ","William Carey University College of Osteopathic Medicine",2024-05-146,"02775     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Hattiesburg                 ","MS","39401     ",43223852,,"United States of America                                                   ",2020-08-216,"DO","N",,
8806526,76040510,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2020-07-202,"DO","N",,
8806527,76069084,"D","Enrolled   ","Campbell University Jerry M Wallace School of Osteopathic Medicine",2025-05-121,"03675     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Buies Creek                 ","NC","27506     ",45713872,,"United States of America                                                   ",2021-08-213,"DO","N",,
8806528,51004873,"D","Yes        ","University of Lagos College of Medicine",2017-01-01,"69002     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Lagos                       ",,"          ",14811494,,"Nigeria",,"MD","N",,
8806529,76640044,"D","Yes        ","University of Missouri-Kansas City School of Medicine",2020-05-143,"02846     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Kansas City                 ","MO","64108     ",14796895,,"United States of America                                                   ",2018-05-148,"MD","N",,
8806530,50311310,"D","Yes        ","UCL Medical School",2000-01-01,"91734     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"London                      ",,"          ",16441993,,"United Kingdom-England",,"MD","N",,
8806531,55991439,"D","Yes        ","Shyam Shah Medical College",2020-01-01,"49593     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Rewa                        ",,"          ",14807061,,"India",,"MD","N",,
8806532,76645634,"D","Yes        ","Univ of North Texas Health Science Center Texas College of Osteopathic Med",2014-06-171,"04878     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Fort Worth                  ","TX","76107     ",14798312,,"United States of America                                                   ",2010-07-186,"DO","N",,
8806533,76645686,"D","Yes        ","Midwestern University-Chicago College of Osteopathic Medicine",2012-05-146,"01676     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Downers Grove               ","IL","60515     ",14795699,,"United States of America                                                   ",2008-08-224,"DO","N",,
8806520,75361871,"D","Enrolled   ","Alabama College of Osteopathic Medicine",2024-05-152,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2020-07-202,"DO","N",,
8806534,76645842,"D","Yes        ","Western Univ Health Sci College of Osteopathic Medicine of the Pacific",2013-12-340,"00576     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Pomona                      ","CA","91766     ",14795036,,"United States of America                                                   ",2009-08-222,"DO","N",,
8806535,76645933,"D","Yes        ","New York Institute of Technology College of Osteopathic Medicine",2013-05-139,"03575     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2009-08-230,"DO","N",,
8806536,76645985,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2027-05-143,"03575     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2023-05-123,"DO","N",,
8806537,76646323,"D","Yes        ","Alabama College of Osteopathic Medicine",2022-05-151,"00175     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Dothan                      ","AL","36301     ",45713846,,"United States of America                                                   ",2018-07-204,"DO","N",,
8806538,76646492,"D","Yes        ","Lake Erie College of Osteopathic Medicine",2018-05-147,"04178     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Erie                        ","PA","16509     ",14797870,,"United States of America                                                   ",2014-07-209,"DO","N",,
8806539,46813698,"D","Yes        ","Touro University California College of Osteopathic Medicine",2018-06-152,"00577     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Vallejo                     ","CA","94592     ",14795049,,"United States of America                                                   ",2014-08-213,"DO","N",,
8806540,48543010,"D","Yes        ","Sackler School of Medicine",2019-06-152,"55002     ",2023/05/04:05:46:44 AM,"PEPFETL ",,"Tel Aviv-Yafo               ",,"69978     ",14808283,,"Israel",,"MD","N",,
8806541,45955815,"D","Yes        ","University of New England College of Osteopathic Medicine",2016-12-365,"02275     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"Biddeford                   ","ME","04005     ",14796154,,"United States of America                                                   ",2011-01-01,"DO","Y",,
8806542,47559833,"D","Yes        ","Shifa College of Medicine",2015-01-01,"70433     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"Islamabad                   ",,"          ",39053361,,"Pakistan",,"MD","N",,
8806543,46282752,"D","Yes        ","Universidade Federal de Santa Catarina (UFSC) Faculdade de Medicina",2015-01-01,"18717     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"Florianapolis               ",,"          ",14799794,,"Brazil",,"MD","N",,
8806544,48292578,"D","Yes        ","St George's University School of Medicine",2019-01-01,"42201     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"St George's                 ",,"          ",14805774,,"Grenada",,"MD","N",,
8806545,47417912,"D","Yes        ","Ross University School of Medicine",2017-01-01,"30501     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"Roseau                      ",,"          ",14803291,,"Dominica                                                                   ",,"MD","N",,
8806546,45219014,"D","Yes        ","Smt N H L Municipal Medical College",2014-01-01,"49576     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"Gujarat                     ",,"          ",14806879,,"India",,"MD","N",,
8806547,49710059,"D","Yes        ","Ain Shams University Faculty of Medicine",2015-01-01,"91504     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"Cairo                       ",,"          ",14815602,,"Egypt                                                                      ",,"MD","N",,
8806548,48235729,"D","Yes        ","Jimma University College of Public Health and Medical Sciences",1998-01-01,"36603     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"Jimma                       ",,"          ",14804032,,"Ethiopia",,"MD","N",,
8806549,75075091,"D","Enrolled   ","Touro New York College of Osteopathic Medicine",2024-06-153,"03576     ",2023/05/05:06:29:56 AM,"PEPFETL ",,"New York                    ","NY","10027     ",39283864,,"United States of America                                                   ",2020-08-216,"DO","N",,
