"ABMS_DATA_ID","ENTITY_ID","CERT_BOARD","CERTIFICATE","CERTIFICATE_TYPE","EFFECTIVE_DT","EXPIRATION_DT","LAST_REPORTED_DT","CERT_STAT_DESC","DURATION_TYPE_DESC","MOC_MET_RQT","REACTIVATION_DT","INSERT_DTM","INSERT_USER_ID","END_DT","CERTIFICATION_ID","ABMS_BIO_ID","MOC_PATHWAY_BRD_MSG","MOC_PATHWAY_ID","ABMS_RECORD_TYPE"
152198939,43748948,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744169,1129850,,,"Active"
152198940,44064991,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744215,1129851,,,"Active"
152198941,42976124,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744028,1129852,,,"Active"
152198942,43931936,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744070,1129853,,,"Active"
152198943,43932248,"American Board of Emergency Medicine","Emergency Medicine","General",2018-06-165,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2661901,1129854,,,"Active"
152198944,43629946,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744218,1129855,,,"Active"
152198945,43758724,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744254,1129856,,,"Active"
152198946,44011093,"American Board of Emergency Medicine","Emergency Medicine","General",2018-06-165,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2661902,1129857,,,"Active"
152198947,43903674,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2743675,1129858,,,"Active"
152198948,8957984,"American Board of Internal Medicine","Internal Medicine","General",1941-01-01,,2023-05-124,"Initial Certification","Lifetime","N  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,246126,112985,,,"Active"
146577029,39914936,"American Board of Psychiatry and Neurology","Neurology","General",2008-11-315,2019-12-365,,"Initial Certification","Time Limited","Y  ",,2019/01/29:05:01:36 AM,"PEPFETL ",,1600605,889867,,,"Expired"
152198949,8957984,"American Board of Internal Medicine","Pulmonary Disease","Sub-specialty",1941-01-01,,2023-05-124,"Initial Certification","Lifetime","N  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2681066,112985,,,"Active"
152198950,43835736,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744256,1129860,,,"Active"
152198951,43900086,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2743676,1129861,,,"Active"
152198952,43835619,"American Board of Emergency Medicine","Emergency Medicine","General",2019-06-155,2030-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2791141,1129862,,,"Active"
152198953,43983572,"American Board of Emergency Medicine","Emergency Medicine","General",2018-06-165,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2661904,1129863,,,"Active"
152198954,4905325,"American Board of Orthopedic Surgery","Orthopaedic Surgery","General",1992-07-192,2003-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,246018,112890,,,"Expired"
152198955,4905325,"American Board of Orthopedic Surgery","Orthopaedic Surgery","General",2003-01-01,2013-12-366,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,865162,112890,,,"Expired"
152198956,42882628,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2744080,1128910,,,"Active"
152198957,42989930,"American Board of Emergency Medicine","Emergency Medicine","General",2018-06-165,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2661443,1128911,,,"Active"
146582520,40009940,"American Board of Radiology","Diagnostic Radiology","General",2008-06-155,2019-12-365,,"Initial Certification","Time Limited","Y  ",,2019/01/29:05:01:43 AM,"PEPFETL ",,1528841,894095,,,"Expired"
152198958,42974564,"American Board of Emergency Medicine","Emergency Medicine","General",2019-06-155,2030-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2790669,1128913,,,"Active"
152198959,42988929,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2743653,1128914,,,"Active"
152198960,42988149,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2743514,1128915,,,"Active"
152198961,42810608,"American Board of Emergency Medicine","Emergency Medicine","General",2019-10-304,2030-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2845753,1128916,,,"Active"
152198962,43187972,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2743412,1128917,,,"Active"
152198963,43060065,"American Board of Emergency Medicine","Emergency Medicine","General",2018-11-324,2029-12-366,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2743464,1128918,,,"Active"
152198964,43058817,"American Board of Emergency Medicine","Emergency Medicine","General",2019-10-304,2030-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2845754,1128919,,,"Active"
152198965,1437991,"American Board of Internal Medicine","Gastroenterology","Sub-specialty",1997-11-323,2008-12-365,2023-05-124,"Initial Certification","Time Limited","N  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,1029762,112891,,,"Expired"
155274887,76562018,"American Board of Pediatrics","Pediatrics","General",2022-10-286,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-02-46,2023/05/02:05:04:47 AM,"PEPFETL ",,3286082,1324533,,,"Active"
155274889,39141267,"American Board of Internal Medicine","Internal Medicine","General",2014-08-232,2020-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2177171,1040797,,,"Expired"
155274890,39452435,"American Board of Internal Medicine","Internal Medicine","General",2013-08-231,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2057161,1002656,,,"Active"
155274891,39452435,"American Board of Internal Medicine","Endocrinology, Diabetes and Metabolism","Sub-specialty",2015-11-306,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2364570,1002656,,,"Active"
155274892,40528263,"American Board of Internal Medicine","Internal Medicine","General",2013-08-227,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2075727,1003058,,,"Active"
155274893,40528263,"American Board of Internal Medicine","Cardiovascular Disease","Sub-specialty",2016-09-271,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2457849,1003058,,,"Active"
155274894,40528263,"American Board of Internal Medicine","Interventional Cardiology","Sub-specialty",2017-10-276,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2583401,1003058,,,"Expired"
155274895,27746507,"American Board of Internal Medicine","Internal Medicine","General",2013-08-221,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2074236,1003060,,,"Active"
155274896,45864178,"American Board of Internal Medicine","Internal Medicine","General",2014-08-232,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2174709,1003074,,,"Active"
155274897,38996148,"American Board of Internal Medicine","Internal Medicine","General",2013-08-221,2015-08-216,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2074870,1003226,,,"Expired"
155274898,38996148,"American Board of Internal Medicine","Internal Medicine","General",2015-08-216,,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2286250,1003226,,,"Active"
155274899,39008537,"American Board of Internal Medicine","Internal Medicine","General",2013-08-231,2015-05-124,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2056443,1007478,,,"Expired"
155274900,39008537,"American Board of Internal Medicine","Internal Medicine","General",2015-05-124,,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2264123,1007478,,,"Active"
155274901,39008537,"American Board of Internal Medicine","Infectious Disease","Sub-specialty",2017-11-319,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2634901,1007478,,,"Active"
155274902,29394582,"American Board of Internal Medicine","Internal Medicine","General",2013-08-226,2015-04-102,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2057229,1011258,,,"Expired"
155274903,29394582,"American Board of Internal Medicine","Internal Medicine","General",2015-04-102,,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2263928,1011258,,,"Active"
155274904,29394582,"American Board of Internal Medicine","Cardiovascular Disease","Sub-specialty",2016-09-271,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2458148,1011258,,,"Active"
155274905,29394582,"American Board of Internal Medicine","Interventional Cardiology","Sub-specialty",2017-11-308,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2583324,1011258,,,"Expired"
155274906,39064944,"American Board of Internal Medicine","Internal Medicine","General",2013-08-226,2019-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2075347,1008494,,,"Expired"
155274907,39064944,"American Board of Internal Medicine","Internal Medicine","General",2019-06-155,,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2789748,1008494,,,"Active"
155274908,39230356,"American Board of Internal Medicine","Internal Medicine","General",2013-08-233,2019-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2074106,1009565,,,"Expired"
155274909,39230356,"American Board of Internal Medicine","Infectious Disease","Sub-specialty",2019-10-297,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2851481,1009565,,,"Active"
155274910,39230356,"American Board of Internal Medicine","Internal Medicine","General",2019-12-336,,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2854560,1009565,,,"Active"
155274911,22318877,"American Board of Internal Medicine","Internal Medicine","General",2013-08-231,2015-08-216,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2076750,1009000,,,"Expired"
155274912,22318877,"American Board of Internal Medicine","Internal Medicine","General",2015-08-216,,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2285638,1009000,,,"Active"
155274913,22318877,"American Board of Internal Medicine","Nephrology","Sub-specialty",2017-10-289,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2583205,1009000,,,"Active"
155274914,39150822,"American Board of Internal Medicine","Internal Medicine","General",2013-08-221,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2073678,1012349,,,"Active"
155274915,29395206,"American Board of Internal Medicine","Internal Medicine","General",2017-08-236,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2561332,1011291,,,"Expired"
155274916,39823312,"American Board of Internal Medicine","Internal Medicine","General",2013-08-233,2015-07-198,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2078019,1011959,,,"Expired"
155274917,39823312,"American Board of Internal Medicine","Internal Medicine","General",2015-07-198,,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2284702,1011959,,,"Active"
155274918,39823312,"American Board of Internal Medicine","Cardiovascular Disease","Sub-specialty",2016-09-271,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2457631,1011959,,,"Active"
155274919,28750484,"American Board of Internal Medicine","Internal Medicine","General",2013-08-221,2019-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2076480,1008348,,,"Expired"
155274920,39823312,"American Board of Internal Medicine","Interventional Cardiology","Sub-specialty",2017-10-276,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2583322,1011959,,,"Expired"
155274921,48046007,"American Board of Internal Medicine","Internal Medicine","General",2013-08-233,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2073815,1012388,,,"Active"
155274922,48046007,"American Board of Internal Medicine","Cardiovascular Disease","Sub-specialty",2016-09-271,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2457875,1012388,,,"Active"
155274923,39132115,"American Board of Internal Medicine","Internal Medicine","General",2013-08-226,2015-04-112,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2078424,1012074,,,"Expired"
155274924,39132115,"American Board of Internal Medicine","Internal Medicine","General",2015-04-112,2019-12-365,2023-05-124,"Re-Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2263967,1012074,,,"Expired"
155274925,28310681,"American Board of Physical Medicine and Rehabilitation","Physical Medicine & Rehabilitation","General",2013-07-182,2024-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2027968,1017590,,,"Active"
155274926,28310681,"American Board of Physical Medicine and Rehabilitation","Sport Medicine","Sub-specialty",2013-09-244,2024-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2040126,1017590,,,"Active"
155274927,27689138,"American Board of Physical Medicine and Rehabilitation","Physical Medicine & Rehabilitation","General",2013-07-182,2024-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2028040,1017659,,,"Active"
155274928,29328490,"American Board of Radiology","Diagnostic Radiology","General",2013-06-163,2023-03-83,2023-05-124,"Initial Certification","Maintenance of Certification","N  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2035195,1021250,,,"Converted"
155274929,29613723,"American Board of Internal Medicine","Internal Medicine","General",2016-08-232,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2435664,1029451,,,"Expired"
155274930,39631523,"American Board of Internal Medicine","Internal Medicine","General",2014-08-219,2020-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2176562,1030693,,,"Expired"
155274931,39764721,"American Board of Internal Medicine","Internal Medicine","General",2015-08-224,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2307723,1031710,,,"Expired"
155274932,39168008,"American Board of Internal Medicine","Internal Medicine","General",2014-08-225,2020-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2175062,1031610,,,"Expired"
155274933,39672161,"American Board of Internal Medicine","Internal Medicine","General",2015-08-215,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2307415,1031009,,,"Expired"
155274934,40498467,"American Board of Internal Medicine","Internal Medicine","General",2014-08-225,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2177367,1031740,,,"Active"
155274935,39323189,"American Board of Internal Medicine","Internal Medicine","General",2014-08-219,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2178797,1032362,,,"Active"
155274936,39323189,"American Board of Internal Medicine","Gastroenterology","Sub-specialty",2018-10-290,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2699649,1032362,,,"Active"
155274937,39411355,"American Board of Internal Medicine","Internal Medicine","General",2017-08-229,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2557197,1031140,,,"Expired"
155274938,39706299,"American Board of Internal Medicine","Internal Medicine","General",2016-08-232,2022-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2436460,1031161,,,"Expired"
155274939,40541120,"American Board of Internal Medicine","Internal Medicine","General",2014-08-230,,2023-05-124,"Initial Certification","Maintenance of Certification","N  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2180173,1032491,,,"Active"
155274940,40541120,"American Board of Internal Medicine","Nephrology","Sub-specialty",2016-11-314,,2023-05-124,"Initial Certification","Maintenance of Certification","N  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2492344,1032491,,,"Active"
155274941,44318192,"American Board of Internal Medicine","Internal Medicine","General",2015-08-217,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2309581,1035663,,,"Active"
155274942,44318192,"American Board of Internal Medicine","Geriatric Medicine","Sub-specialty",2016-11-307,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2504880,1035663,,,"Active"
155274943,39175262,"American Board of Internal Medicine","Internal Medicine","General",2015-08-217,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2309639,1037260,,,"Active"
155274944,39175262,"American Board of Internal Medicine","Cardiovascular Disease","Sub-specialty",2018-10-282,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2698631,1037260,,,"Active"
155274945,40196815,"American Board of Internal Medicine","Internal Medicine","General",2014-08-220,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2178340,1037064,,,"Active"
155274946,40196815,"American Board of Internal Medicine","Geriatric Medicine","Sub-specialty",2016-11-307,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2504872,1037064,,,"Active"
155274947,38932357,"American Board of Internal Medicine","Internal Medicine","General",2014-08-219,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2179603,1037724,,,"Active"
155274948,40266417,"American Board of Internal Medicine","Internal Medicine","General",2014-08-225,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2183689,1038027,,,"Active"
155274949,39693143,"American Board of Internal Medicine","Internal Medicine","General",2014-08-224,2020-12-365,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",,2023/05/03:05:16:57 AM,"PEPFETL ",,2179436,1037659,,,"Expired"
155274950,45333102,"American Board of Internal Medicine","Internal Medicine","General",2014-08-232,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2177045,1036038,,,"Active"
155274951,38812705,"American Board of Internal Medicine","Internal Medicine","General",2014-08-232,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2180015,1037421,,,"Active"
155274952,38873792,"American Board of Internal Medicine","Internal Medicine","General",2015-08-217,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2306885,1040078,,,"Active"
155274953,43088145,"American Board of Pediatrics","Pediatrics","General",2016-10-294,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-02-46,2023/05/03:05:16:57 AM,"PEPFETL ",,2512385,1125367,,,"Active"
155274954,39544683,"American Board of Internal Medicine","Internal Medicine","General",2015-08-217,,2023-05-124,"Initial Certification","Maintenance of Certification","Y  ",2024-04-92,2023/05/03:05:16:57 AM,"PEPFETL ",,2306205,1041838,,,"Active"
