,Address,City,Date,Latitude,LineType,Name,NoteDescriptions,OFFICE_TELEPHONE,PhoneType,PostalCode,Provider,ProviderCity,ProviderState,QualityScore,SICDesc,State
10,1104 PLATTE FALLS RD,PLATTE CITY,2019-04-18,39.353259,LANDLINE,PLATTE COUNTY PEDIATRICS  DENTIST PEDIATRIC,"IsMailable,IsPorted",8168585253,BUSINESS,64079-7629,VONAGE NETWORK INC.,KANSAS CITY,MISSOURI,LOW,MEDICAL INSURANCE ASSOCIATIONS,MO
11,1011 BOWLES AVE STE 405,FENTON,2009-03-27,null,LANDLINE,SOUND AUDIOLOGY ST LOUIS ENT HEALTH HEARING AIDS,"IsMailable,IsConnected,IsPorted",3149659184,BUSINESS,63026-2387,WINDSTREAM NUVOX-MO,KIRKWOOD,MISSOURI,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,MO
12,1670 W MAIN ST,LEBANON,2018-04-19,36.220684,LANDLINE,RANDOLPH R FACS EVANS,"IsMailable,IsConnected,IsPorted",6154535155,RESIDENTIAL,37087-1344,WEST TELECOM SVC-TN,NASHVILLE,TENNESSEE,HIGH,"CONTACT LENSE SPECIALIST OPTOMETRIST,OPTICAL GOODS STORES",TN
13,1055 N 300 W,PROVO,2017-08-18,null,LANDLINE,LYNN M GAUFIN,"IsMailable,IsConnected,IsPorted",8013577404,RESIDENTIAL,84604-3344,VERACITY COMMS - UT,PROVO,UTAH,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,PROPERTY OPERATION, RETAIL ESTABLISHMENT,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",UT
14,null,ROCHESTER,2018-09-05,null,LANDLINE,WSUPG,IsPorted,2486506301,null,48306,TELEPORT COMM AM-MI,DETROIT,MICHIGAN,LOW,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,COLLEGES AND UNIVERSITIES",MI
15,null,null,null,null,LANDLINE,PROFESSIONAL PATHOLOGY SERVICES,null,8037749163,BUSINESS,null,FTC DIVERSIFIED SVCS,SUMTER,SOUTH CAROLINA,MED,null,null
16,null,SPOKANE,null,null,LANDLINE,MCKESSON CORPORATION,"IsPossibleDisconnected,INF",5098388610,BUSINESS,99204,QWEST CORPORATION,SPOKANE,WASHINGTON,LOW,null,WA
17,805 LOCUST ST,PHILADELPHIA,2016-07-05,39.947004,LANDLINE,LAURA OPPENHEIM MD PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",2154408681,BUSINESS,19107-5507,"AIRUS, INC. - PA",PHILADELPHIA,PENNSYLVANIA,HIGH,null,PA
18,22101 MOROSS RD,DETROIT,null,42.418887,LANDLINE,ST JOHN HEALTH,IsMailable,3133434748,BUSINESS,48236-2148,AMERITECH MICHIGAN,DETROIT,MICHIGAN,LOW,null,MI
19,null,null,2014-07-30,null,LANDLINE,null,"IsPorted,IsUnknownContact",9056925923,null,null,ROGERS COMM CAN,BINBROOK,ONTARIO,null,null,null
20,5400 GIBSON BLVD SE,ALBUQUERQUE,2017-06-15,35.058311,LANDLINE,DR PAUL WARFIELD MD,"IsMailable,IsConnected,IsPorted",5052627174,BUSINESS,87108-4729,CENTURYLINK COMM,ALBUQUERQUE,NEW MEXICO,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,ENDOCRINOLOGIST,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",NM
21,40 CALLE 25 DE JULIO,YAUCO,2016-11-23,null,LANDLINE,VELASCO JUAN C,"IsMailable,IsConnected,IsPorted",7872672811,BUSINESS,00698-3601,LIBERTY CABLEVSN-PR,YAUCO,PUERTO RICO,HIGH,null,PR
22,null,BALTIMORE,null,null,LANDLINE,JOHNS HOPKINS H,IsConnected,4109553518,BUSINESS,21201,VERIZON MARYLAND INC,BALTIMORE,MARYLAND,MED,null,MD
23,null,LOS ANGELES,null,null,LANDLINE,UCLA DENTISTRY SCHOOL,IsConnected,3108258816,BUSINESS,90025,FRONTIER CALIFORNIA,WEST LOS ANGELES,CALIFORNIA,MED,null,CA
24,1111 MEDICAL CENTER BLVD STE N707,MARRERO,2018-06-06,null,LANDLINE,CHARLES BALLAY DR PHYSICIANS GENERAL,"IsMailable,IsConnected,IsPorted",5049348550,BUSINESS,70072-3158,TELEPORT COM AM - LA,NEW ORLEANS,LOUISIANA,HIGH,null,LA
25,800 N WESTMORELAND RD STE 205,LAKE FOREST,2017-07-24,42.256062,LANDLINE,THE SURGEONS GROUP,"IsMailable,IsPorted,IsPossibleDisconnected,INF",8472344310,BUSINESS,60045-1687,TELEPORT COMM AM-IL,ELWOOD,ILLINOIS,LOW,OFFICES AND CLINICS OF MEDICAL DOCTORS,IL
26,null,PHILADELPHIA,2018-10-16,null,VOIP,PENN MEDICINE WOODBURY,"IsConnected,IsPorted",2158292345,BUSINESS,19107,XO COMM SVCS INC-PA,CATASAUQUA,PENNSYLVANIA,MED,null,PA
27,null,null,2017-09-06,null,LANDLINE,"FAISON, SARAH",IsPorted,3345281112,UNKNOWN,null,"DELTACOM, INC. - AL",GREENSBORO,ALABAMA,MED,null,null
28,1845 CARR 2,BAYAMON,2018-09-11,null,LANDLINE,SEDA RODRIGUEZ JAFFED,"IsMailable,IsConnected,IsPorted",7877985323,BUSINESS,00959-7200,LIBERTY CABLEVSN-PR,BAYAMON,PUERTO RICO,HIGH,null,PR
29,1455 MAIN ST STE 100,WINDSOR,null,null,LANDLINE,EGLE BAKANAUSKAS MD,"IsMailable,IsPossibleDisconnected,INF",9706863950,BUSINESS,80550-5559,QWEST CORPORATION,WINDSOR,COLORADO,LOW,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES OF HEALTH PRACTITIONER",CO
30,null,WOODLAND HILLS,2014-09-11,null,LANDLINE,KAISER PERMANEN,"IsConnected,IsPorted",8187192970,BUSINESS,91302,PACIFIC BELL,CANOGA PARK,CALIFORNIA,MED,null,CA
31,119 OAKFIELD DR,BRANDON,null,27.934071,LANDLINE,BRANDON REGIONAL HOSPITAL SPINE CENTER PHYSICIANS,"IsMailable,IsConnected",8136815551,BUSINESS,33511-5779,FRONTIER COMM OF FL,TAMPA,FLORIDA,HIGH,GENERAL MEDICAL AND SURGICAL HOSPITALS,FL
32,2450 S TELSHOR BLVD,LAS CRUCES,2016-06-30,null,LANDLINE,GENERAL SURGERY ASSOCIATES,"IsMailable,IsPorted",5755566400,BUSINESS,88011-5141,CENTURYLINK COMM,ALBUQUERQUE,NEW MEXICO,LOW,null,NM
33,null,BOSTON,null,null,LANDLINE,NEW ENGLAND EYE,null,6176365784,BUSINESS,02111,VERIZON NEW ENGLAND,BOSTON,MASSACHUSETTS,LOW,null,MA
34,2021 SANTA MONICA BLVD STE 520E,SANTA MONICA,2012-12-11,null,LANDLINE,DAVID STOLL MD PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",3104534071,BUSINESS,90404-2161,FRONTIER CALIFORNIA,SANTA MONICA,CALIFORNIA,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,CA
35,null,null,null,null,LANDLINE,null,IsUnknownContact,3143622866,null,null,SOUTHWESTERN BELL,SAINT LOUIS,MISSOURI,null,null,null
36,null,null,2015-04-23,null,LANDLINE,"MAENZA, SARI DEBRA",IsPorted,9146812878,UNKNOWN,null,CABLEVSN LGHTPATH NY,NASSAU,NEW YORK,MED,null,null
37,null,null,null,null,LANDLINE,CAROLINA N CALL,IsConnected,9196903499,RESIDENTIAL,null,CENTURYLINK,OXFORD,NORTH CAROLINA,MED,null,null
38,750 MEDICAL CENTER CT,CHULA VISTA,2019-07-18,32.618398,VOIP,T CHAC RICK MD OBGYN PHYSICIANS GENERAL,"IsMailable,IsConnected,IsPorted",6194822400,BUSINESS,91911-6634,COMCAST PHONE - CA,CHULA VISTA,CALIFORNIA,HIGH,null,CA
39,8150 JEFFERSON HWY STE A,BATON ROUGE,2017-01-04,null,LANDLINE,WILLIAMSON COSMETIC CENTER PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",2259277546,BUSINESS,70809-7715,ADVANCED TEL - LA,BATON ROUGE,LOUISIANA,HIGH,null,LA
40,431 HOMER RD,MINDEN,null,32.621485,LANDLINE,JOHNSON GLENDA MD PHYSICIANS SURGEONS,"IsMailable,IsConnected",3183778855,BUSINESS,71055-2933,BELLSOUTH SO CNTL,MINDEN,LOUISIANA,HIGH,null,LA
41,401 S VAN BRUNT ST STE 405,ENGLEWOOD,2014-04-28,40.883346,LANDLINE,JAFFE FRIEDMAN MD PA PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",2018714346,BUSINESS,07631-4600,MONMOUTH TEL&TEL NJ,RED BANK,NEW JERSEY,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",NJ
42,null,FORT MYERS,null,null,LANDLINE,FLORIDA STATE OF AGRICULTURE & CONSUMER SERVICES,null,2396905200,BUSINESS,33905,CENTURYLINK,FORT MYERS,FLORIDA,LOW,null,FL
43,3070 N 51ST ST STE 207,MILWAUKEE,2014-05-15,null,LANDLINE,JOSEPH BATTISTA MD PHYSICIANS GENERAL,"IsMailable,IsConnected,IsPorted",4148744870,BUSINESS,53210-1661,TELEPORT COM AM - WI,BEAVER DAM,WISCONSIN,HIGH,null,WI
44,550 MEDICAL CENTER BLVD,LAWRENCEVILLE,null,null,LANDLINE,GWINNETT MED CT,IsMailable,6783123294,BUSINESS,30046-7688,BELLSOUTH SO BELL,ATLANTA NORTHEAST,GEORGIA,LOW,null,GA
45,11760 SW 40TH ST,MIAMI,2019-08-28,25.732026,LANDLINE,KENDALL FAMILY MEDICAL CENTER,"IsMailable,IsPorted",3055526969,BUSINESS,33175-3582,"AIRUS, INC. - FL",WEST PALM BEACH,FLORIDA,LOW,null,FL
46,450 STANYAN ST,SAN FRANCISCO,null,37.774233,LANDLINE,SAINT MARYS MEDICAL CENTER GENERAL INFORMATION,"IsMailable,IsConnected",4156681000,BUSINESS,94117-1019,PACIFIC BELL,SAN FRANCISCO,CALIFORNIA,HIGH,"GENERAL MEDICAL AND SURGICAL HOSPITALS,OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,OFFICES AND CLINICS OF PODIATRISTS",CA
47,150 PIONEER LN,BISHOP,null,37.361872,LANDLINE,NORTHERN INYO H,IsMailable,7608732607,BUSINESS,93514-2556,FRONTIER CALIFORNIA,BISHOP,CALIFORNIA,LOW,null,CA
48,39000 BOB HOPE DR STE P212,RANCHO MIRAGE,null,33.763180,LANDLINE,LOUIS PETER ST MD PHYSICIANS SURGEONS,"IsMailable,IsConnected",7605689831,BUSINESS,92270-7025,FRONTIER CALIFORNIA,PALM DESERT,CALIFORNIA,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,CA
49,null,SEATTLE,2017-07-06,null,LANDLINE,UW MED,IsPorted,2067445100,BUSINESS,98101,MAGNA5 LLC,SEATTLE,WASHINGTON,LOW,null,WA
50,null,SAN JUAN,2017-10-13,null,LANDLINE,C JORGE,IsPorted,7872820333,RESIDENTIAL,00901,OPTIVON TELECOM - PR,GUAYNABO,PUERTO RICO,LOW,null,PR
51,null,PHILADELPHIA,2016-06-16,null,LANDLINE,HOSP UNIV OF PA,"IsConnected,IsPorted",2156622250,BUSINESS,19153,ALLEGIANCE TELCOM PA,PHILADELPHIA,PENNSYLVANIA,MED,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",PA
52,null,PITTSBURGH,2011-03-01,null,LANDLINE,477047E3VU37800,IsPorted,4128223000,null,15209,CAVALIER MID-ATL PA,PITTSBURGH,PENNSYLVANIA,LOW,null,PA
53,600 N WOLFE ST,BALTIMORE,null,null,LANDLINE,JOHNS HOPKINS H,IsMailable,4109555104,BUSINESS,21287-0005,VERIZON MARYLAND INC,BALTIMORE,MARYLAND,LOW,null,MD
54,null,null,null,null,LANDLINE,null,IsUnknownContact,3308419901,null,null,CENTURYLINK,WARREN,OHIO,null,null,null
55,null,SANTURCE,2005-02-02,null,LANDLINE,LABORATORIO UNIVERSITY PATHOLOGISTS LABORATORIES,"IsPorted,IsPossibleDisconnected,INF",7877265486,BUSINESS,00911,"AT&T, INC. - PR",SANTURCE,PUERTO RICO,LOW,null,PR
56,8503 ARLINGTON BLVD,FAIRFAX,2015-02-06,38.865460,LANDLINE,FAIRFAX PRINCE WM HEMATOLOGY ONCOLOGY CLINICS,"IsMailable,IsConnected,IsPorted",7032805390,BUSINESS,22031-4628,US LEC OF VA,ARCOLA,VIRGINIA,HIGH,null,VA
57,null,LOS ANGELES,2019-08-15,null,LANDLINE,THE ANGELES CLI,IsPorted,3104791215,BUSINESS,90025,TELEPORT COM LA,SATICOY,CALIFORNIA,LOW,null,CA
58,500 LAUREL LN,LEWISVILLE,2018-12-11,33.043071,LANDLINE,INPATIENT MANAGEMENT TEAM PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",9724348000,BUSINESS,75067-4504,WEST TELECOM SVC-TX,IRVING,TEXAS,HIGH,null,TX
59,8001 ANGLING RD,PORTAGE,null,null,LANDLINE,BORGESS MEDICAL CENTER,IsMailable,2692267231,BUSINESS,49024-7422,AMERITECH MICHIGAN,KALAMAZOO,MICHIGAN,LOW,null,MI
60,1600 N GRAND AVE,PUEBLO,null,38.282002,LANDLINE,PARKVIEW MEDICAL CENTER PARKVIEW NEUROSURGICAL,"IsMailable,IsConnected",7195957040,BUSINESS,81003-2700,QWEST CORPORATION,PUEBLO,COLORADO,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",CO
61,null,SAN JUAN,2016-05-09,null,LANDLINE,P RIO,IsPorted,7877630216,RESIDENTIAL,00901,LIBERTY CABLEVSN-PR,SAN JUAN,PUERTO RICO,LOW,null,PR
62,9333 N HAGGERTY RD,PLYMOUTH,null,null,LANDLINE,GEPPERT PAMELA M DO PLLC PHYSICIANS SURGEONS,"IsMailable,IsConnected",7344147231,BUSINESS,48170-4622,AMERITECH MICHIGAN,PLYMOUTH,MICHIGAN,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",MI
63,1 TECH PARK DR,JOHNSTOWN,2012-02-26,null,LANDLINE,HARRY H POTE,"IsMailable,IsPorted",8144758700,RESIDENTIAL,15901-2515,VERIZON NORTH-PA,JOHNSTOWN,PENNSYLVANIA,LOW,null,PA
64,null,LOS ANGELES,2002-04-27,null,LANDLINE,US GOVERNMENT,IsPorted,3102683591,BUSINESS,90025,PACIFIC BELL,BEVERLY HILLS,CALIFORNIA,LOW,null,CA
65,1605 MARTIN SPRINGS DR STE 360B,ROLLA,2017-11-22,null,LANDLINE,MERCY CLINIC NEUROLOGYROLLA PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",5734586380,BUSINESS,65401-2980,MCI WORLDCOM COMM MO,SAINT LOUIS,MISSOURI,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",MO
66,1200 S CEDAR CREST BLVD,ALLENTOWN,2008-01-31,40.567594,LANDLINE,LEHIGH VLLY,"IsMailable,IsPorted",6104029080,BUSINESS,18103-6202,"CTSI, INC. - PA",ALLENTOWN,PENNSYLVANIA,LOW,null,PA
67,2500 W SILVER SPRING DR,MILWAUKEE,null,43.119210,LANDLINE,GLENDALE PEDIATRICS CHILDREN S MEDICAL GROUP,"IsMailable,IsPossibleDisconnected,INF",4143931925,BUSINESS,53209-4218,AMERITECH WISCONSIN,MILWAUKEE,WISCONSIN,LOW,null,WI
68,122 ACADEMY ST,PRESQUE ISLE,2019-07-02,46.677218,LANDLINE,ST APOLLONIA DENTAL CLINIC DENTISTS,"IsMailable,IsConnected,IsPorted",2075545045,BUSINESS,04769-3005,TIME WARNER CABLE ME,PORTLAND,MAINE,HIGH,OFFICES AND CLINICS OF DENTISTS,ME
69,6201 ELMWOOD AVE,MIDDLETON,null,null,LANDLINE,THE VILLA AT MIDDLETON VILLAGE NURSING HOMES LIFE,"IsMailable,IsConnected",6088318300,BUSINESS,53562-3319,MID-PLAINS TEL INC,MIDDLETON,WISCONSIN,HIGH,RESIDENTIAL CARE,WI
70,null,CHICAGO,2017-05-11,null,LANDLINE,NORTHWESTERN MEDICAL FACULTY FOUNDATION,"IsConnected,IsPorted",3126956647,BUSINESS,60654,TELEPORT COMM AM-IL,ELWOOD,ILLINOIS,MED,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,IL
71,3737 MARKET ST,PHILADELPHIA,2016-06-16,null,LANDLINE,PENN PRESBYTERIAN PHYSICIANS SURGEONS RHEUMATOLOGY,"IsMailable,IsConnected,IsPorted",2156624333,BUSINESS,19104-5545,ALLEGIANCE TELCOM PA,PHILADELPHIA,PENNSYLVANIA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",PA
72,null,null,null,null,LANDLINE,null,IsUnknownContact,6096330279,null,null,VERIZON NEW JERSEY,TRENTON,NEW JERSEY,null,null,null
73,null,CAGUAS,2017-06-14,null,LANDLINE,MICHELLE MORINGLANE,IsPorted,7877470300,RESIDENTIAL,00725,"AT&T, INC. - PR",CAGUAS,PUERTO RICO,LOW,null,PR
74,79 OMEGA DR,NEWARK,2015-12-08,null,VOIP,BIKASH MD BOSE C PHYSICIANS GENERAL,"IsMailable,IsConnected,IsPorted",3027389145,BUSINESS,19713-2064,COMCAST PHONE - DE,WILMINGTON,DELAWARE,HIGH,null,DE
75,null,null,null,null,LANDLINE,MARTHA A MICHEL,null,3179449981,UNKNOWN,null,LIGHTBOUND - IN,INDIANAPOLIS,INDIANA,MED,null,null
76,25200 CENTER RIDGE RD,WESTLAKE,2013-05-15,null,LANDLINE,ANITA CHERIYAN,"IsMailable,IsConnected,IsPorted",4408955040,RESIDENTIAL,44145-4141,CORECOMM - OH,MAPLE HEIGHTS,OHIO,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,OH
77,133 N HOWARD AVE,LANDRUM,null,35.175834,LANDLINE,MARY K DURAN MD PHYSICIANS SURGEONS,"IsMailable,IsConnected",8644573838,BUSINESS,29356-1507,"WINDSTREAM SC, INC.",LANDRUM,SOUTH CAROLINA,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,SC
78,null,MILWAUKEE,2014-05-15,null,LANDLINE,WHEATON FRANCISCAN BEHAVIORAL HEALTH INFORMATION,IsPorted,4148744600,BUSINESS,53216,TELEPORT COM AM - WI,BEAVER DAM,WISCONSIN,LOW,null,WI
79,2400 6TH ST NW,WASHINGTON,2018-06-15,38.923980,LANDLINE,HOWARD UNIV,"IsMailable,IsPorted",2028065677,BUSINESS,20059-0001,STARPOWER COMM DC,WASHINGTON,DISTRICT OF COLUMBIA,LOW,null,DC
80,5700 DARROW RD STE 106,HUDSON,2012-01-25,null,LANDLINE,4 M EMERGENCY SYSTEMS EMERGENCY MEDICAL SURGICAL,"IsMailable,IsConnected,IsPorted",3306565911,BUSINESS,44236-5026,WINDSTREAM WESTN RES,NORTHFIELD,OHIO,HIGH,"HEALTH AND ALLIED SERVICES, NEC",OH
81,30 WARDER ST STE 220,SPRINGFIELD,2011-03-25,39.929533,LANDLINE,SAS SURGERY VEIN SPECIALISTS PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",9373997021,BUSINESS,45504-2581,CINCINNATI BELL EXT,DAYTON,OHIO,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,OH
82,40 ASBURY ST,SOUTH HAMILTON,null,42.613847,LANDLINE,SMITH BRUCE W MD,"IsMailable,IsConnected",9784684101,BUSINESS,01982-1808,VERIZON NEW ENGLAND,HAMILTON,MASSACHUSETTS,HIGH,null,MA
83,null,DICKINSON,null,null,LANDLINE,V UTMB,IsConnected,2813370704,RESIDENTIAL,77539,FRONTIER COMM OF TX,DICKINSON,TEXAS,MED,null,TX
84,null,null,null,null,LANDLINE,BETH ISRAEL MEDICAL CTR,null,7189513072,UNKNOWN,null,VERIZON NEW YORK INC,BROOKLYN,NEW YORK,MED,null,null
85,3191 STILLWATER DR STE B,PRESCOTT,2018-09-03,null,LANDLINE,THUMB BUTTE MEDICAL CENTER,"IsMailable,IsPorted,IsPossibleDisconnected,INF",9284457085,BUSINESS,86305-7145,"ONVOY, LLC - AZ",GILBERT,ARIZONA,LOW,"OFFICES OF HEALTH PRACTITIONER,OFFICES AND CLINICS OF MEDICAL DOCTORS",AZ
86,16052 PO BOX,READING,null,null,LANDLINE,READING HOSPITAL AND MEDICAL CENTER,IsMailable,6109884580,BUSINESS,19612-6052,VERIZON PENNSYLVANIA,READING,PENNSYLVANIA,LOW,null,PA
87,418 SAN FERNANDO MISSION BLVD,SAN FERNANDO,null,34.282917,LANDLINE,CRISTOJOHN SAMUEL DR,"IsMailable,IsConnected",8183651668,BUSINESS,91340-3530,FRONTIER CALIFORNIA,SAN FERNANDO,CALIFORNIA,HIGH,null,CA
88,null,CHICAGO,2019-04-26,null,LANDLINE,NW MEMORIAL HOSPITAL,"IsConnected,IsPorted",3123373601,BUSINESS,60654,TELEPORT COMM AM-IL,ELWOOD,ILLINOIS,MED,null,IL
89,11860 WILSHIRE BLVD STE 200,LOS ANGELES,null,34.047109,LANDLINE,CENTER FOR OPTIMUM HEALTH PHYSICIANS SURGEONS,"IsMailable,IsConnected",3104456600,BUSINESS,90025-6626,FRONTIER CALIFORNIA,WEST LOS ANGELES,CALIFORNIA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,TRANSFERS, DECALCOMANIA OR DRY: LITHOGRAPHED,LOOSELEAF BINDERS",CA
90,127 SEELEY RD,SYRACUSE,2014-09-05,43.052898,LANDLINE,SPRINGER SHARON PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",3154767600,BUSINESS,13224-1113,NORTHLAND NETWORKS,SYRACUSE,NEW YORK,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,NY
91,20 PROSPECT AVE,HACKENSACK,null,40.884271,LANDLINE,JEROME F LEVINE MD PHYSICIANS SURGEONS,"IsMailable,IsConnected",2014874088,BUSINESS,07601-1997,VERIZON NEW JERSEY,HACKENSACK,NEW JERSEY,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",NJ
92,16311 VENTURA BLVD STE 845,ENCINO,2018-03-15,34.156954,LANDLINE,OPHTHALMOLOGY ASSOCIATES OF THE VALLEY PHYSICIANS,"IsMailable,IsConnected,IsPorted",8189903623,BUSINESS,91436-4330,MCI WORLDCOM COMM CA,ANAHEIM,CALIFORNIA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,CONTACT LENSE SPECIALIST OPTOMETRIST",CA
93,360 SAN MIGUEL DR STE 207,NEWPORT BEACH,null,null,LANDLINE,ESTHETICA OF NEWPORT BEACH,"IsMailable,IsConnected",9497211113,BUSINESS,92660-7820,PACIFIC BELL,NEWPORT BEACH,CALIFORNIA,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,CA
94,39000 BOB HOPE DR STE K206,RANCHO MIRAGE,null,33.763180,LANDLINE,ANDREW J HAYDURE MD PHYSICIANS SURGEONS SURGERY,"IsMailable,IsConnected",7603416996,BUSINESS,92270-7002,FRONTIER CALIFORNIA,PALM DESERT,CALIFORNIA,HIGH,null,CA
95,8400 WASHINGTON AVE,MOUNT PLEASANT,null,null,LANDLINE,TIMOTHY S STAACKE MD PHYSICIANS GENERAL,"IsMailable,IsConnected",2623213069,BUSINESS,53406-3735,AMERITECH WISCONSIN,STURTEVANT,WISCONSIN,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,WI
96,null,null,2018-05-15,null,LANDLINE,null,"IsPorted,IsUnknownContact",7323999575,null,null,"AIRUS, INC. - NJ",KEARNY,NEW JERSEY,null,null,null
97,414 E SAN BERNARDINO RD,COVINA,2018-10-25,34.090809,LANDLINE,GLENDORA RADIOLOGICAL ASSOCIATES INC MEDICAL,"IsMailable,IsConnected,IsPorted",6263395464,BUSINESS,91723-1704,FRONTIER CALIFORNIA,SANTA MONICA,CALIFORNIA,HIGH,MEDICAL FIELD-RELATED ASSOCIATIONS,CA
98,137 MAIN RD STE 300,MONTVILLE,2014-06-23,null,LANDLINE,ADVANCED EYE CARE AND GLAUCOMA CENTER OF,"IsMailable,IsConnected,IsPorted",9732996300,BUSINESS,07045-9231,CABLEVSN LGHTPATH NJ,NETCONG,NEW JERSEY,HIGH,null,NJ
99,2545 SCHOENERSVILLE RD,BETHLEHEM,2008-01-28,null,LANDLINE,ITAY KESHET MD PHYSICIANS SURGEONS,"IsMailable,IsConnected,IsPorted",4848842888,BUSINESS,18017-7300,"CTSI, INC. - PA",ALLENTOWN,PENNSYLVANIA,HIGH,"OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,OFFICES AND CLINICS OF MEDICAL DOCTORS",PA
