RECSEQ	MESSAGE_ID	MESSAGE_NAME	EVENT_DATE	PROD_CAT	PROD_DESC	TOTAL_OPENS	TOTAL_CLICKS	TOTAL_BOUNCES	TOTAL_UNSUBS	TOTAL_SENDS	OPEN_RATE	CLICK_RATE	BOUNCE_RATE	UNSUB_RATE	DELIVERY_RATE	URL1	URL2	URL3	URL4	URL5
0000000022	12176	Credentialing_8Elements_addr2_032417	2017/05/24 08:33:00	Credentialing		48	0	0	0	0	         0	         0	         0	         0	         0					
0000000023	12767	HS_BYOP2017_SendA_041017	2017/05/18 13:53:00	BYOP2017		552	0	0	0	0	         0	         0	         0	         0	         0					
0000000024	12865	Credentialing_8Elements_addr1_041217	2017/05/19 08:35:00	Credentialing		813	60	0	0	0	         0	7	         0	         0	         0		https://commerce.ama-assn.org/amaprofiles/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_041217&utm_campaign=credentialing+2017&utm_uid=9223454&utm_effort=	http://info.commerce.ama-assn.org/ama-credentialing-services-home?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_041217&utm_campaign=credentialing+2017&utm_uid=9555163&utm_effort=	http://www.ama-assn.org?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_041217&utm_campaign=credentialing+2017&utm_uid=9780424&utm_effort=	https://commerce.ama-assn.org/amaprofiles/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_041217&utm_campaign=credentialing+2017&utm_uid=10194406&utm_effort=
0000000025	12867	Credentialing_8Elements_addr2_041217	2017/05/24 08:33:00	Credentialing		124	0	0	0	0	         0	         0	         0	         0	         0					
0000000026	13095	Credentialing_HubFeatures2017_addr1_041917	2017/05/18 13:25:00	Credentialing		1116	29	0	0	0	         0	3	         0	         0	         0		http://info.commerce.ama-assn.org/ama-profiles-hub?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_hubfeatures2017_addr1_041917&utm_campaign=credentialing+2017&utm_uid=9239995&utm_effort=	http://info.commerce.ama-assn.org/ama-credentialing-services-home?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_hubfeatures2017_addr1_041917&utm_campaign=credentialing+2017&utm_uid=11407109&utm_effort=	http://info.commerce.ama-assn.org/ama-credentialing-services-home?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_hubfeatures2017_addr1_041917&utm_campaign=credentialing+2017&utm_uid=9214415&utm_effort=	http://info.commerce.ama-assn.org/ama-profiles-hub?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_hubfeatures2017_addr1_041917&utm_campaign=credentialing+2017&utm_uid=8896358&utm_effort=
0000000027	13096	Credentialing_HubFeatures2017_addr2_041917	2017/05/22 06:08:00	Credentialing		33	0	0	0	0	         0	         0	         0	         0	         0					
0000000028	13397	HS_CORECODING2017_SendA_042717	2017/05/18 17:00:00	CoreCoding2018		545	17	0	0	0	         0	3	         0	         0	         0		https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2017_senda_042717&utm_campaign=core+books+2018&utm_uid=9766177&utm_effort=	https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2017_senda_042717&utm_campaign=core+books+2018&utm_uid=8854012&utm_effort=	https://www.ama-assn.org/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2017_senda_042717&utm_campaign=core+books+2018&utm_uid=8854012&utm_effort=	https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2017_senda_042717&utm_campaign=core+books+2018&utm_uid=10121506&utm_effort=
0000000029	1383	HS_Marketing non doc_ addr 1_06-15-16	2016/07/31 18:55:00	CoreCoding2017		248	16	0	0	0	         0	6	         0	         0	         0		https://commerce.ama-assn.org/store/content/2017-core-titles?node_id=2017-core-titles&utm_source=selligent&utm_medium=email&utm_term=1466437775&utm_content=hs_marketing+non+doc_+addr+1_06-15-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/content/2017-core-titles?node_id=2017-core-titles&utm_source=selligent&utm_medium=email&utm_term=14664%zmrlof&utm_content=%zms_marketing+non+doc_+addr+1_06-15-16&utm_campaign=uk1dx%mrc4v-dyy3c%gxwo3o7k1%mr8qb0o9s3q	https://commerce.ama-assn.org/store/content/2017-core-titles?node_id=2017-core-titles&utm_source=selligent&utm_medium=email&utm_term=1466437736&utm_content=hs_marketing+non+doc_+addr+1_06-15-16&utm_campaign=health+solutions+general+marketing	http://www.ama-assn.org/ama?utm_source=selligent&utm_medium=email&utm_term=1466437736&utm_content=hs_marketing+non+doc_+addr+1_06-15-16&utm_campaign=health+solutions+general+marketing
0000000030	13905	HS_ChannelMarketing_PrinciplesCPTResellers_042117	2017/05/19 14:12:00	ChannelMarketing		140	8	0	0	0	         0	6	         0	         0	         0		http://click.ama-assn.org/t/gch1aaeaanooqaqcocyiaabaaaaaabmp4m-gaa?p=gdml.lk0wvz~258weie-wwor.kvc&h=ylet.dssenh~2504wqw-eowj.snk&h=fzv&t=&v=jsp_ereep6fhi_pmhp_heqr8l&diwppl~25yfoshypmkro~2567gdejrap~25yfienoaxerc&&	http://click.ama-assn.org/t/gch1aaeaanooqaqcocyiaabaaaaaabmp4m-gaa?p=gdml.lk0wvz~258weie-wwor.kvc&h=ylet.dssenh~2504wqw-eowj.snk&h=fzz&t=&v=jsp_ereep6fhi_pmhp_heqr8l&diwppl~25yfoshypmkro~2567gdejrap~25yfienoaxerc&&		
0000000031	13906	HS_ChannelMarketing_PrinciplesCPTAcademics_042117	2017/05/21 20:14:00	ChannelMarketing	PrinciplesCPTAcademics	1296	0	0	0	0	         0	         0	         0	         0	         0					
0000000032	1392	Health Solutions_Credentialing_Webinar_062016	2016/07/31 14:51:00	Credentialing		164	9	0	0	0	         0	5	         0	         0	         0		http://cc.readytalk.com/play?id=su2ci&utm_source=selligent&utm_medium=email&utm_term=1466445622&utm_content=health+solutions_credentialing_webinar_062016&utm_campaign=health+solutions+credentialing+--+webinar+june	http://cc.readytalk.com/play?id=su2ci&utm_source=selligent&utm_medium=email&utm_term=1466445621&utm_content=health+solutions_credentialing_webinar_062016&utm_campaign=health+solutions+credentialing+--+webinar+june	http://cc.readytalk.com/play?id=su2ci&utm_source=selligent&utm_medium=email&utm_term=1466445625&utm_content=health+solutions_credentialing_webinar_062016&utm_campaign=health+solutions+credentialing+--+webinar+june	http://info.commerce.ama-assn.org/ama-free-webinars?utm_source=selligent&utm_medium=email&utm_term=1466445623&utm_content=health+solutions_credentialing_webinar_062016&utm_campaign=health+solutions+credentialing+--+webinar+june
0000000033	14021	Credentialing_VHCPPracticeManagerVoluteers_addr1_042717	2017/05/21 13:51:00	VerifyHCPAdmin		17	0	0	0	0	         0	         0	         0	         0	         0					
0000000034	14387	HS_Admin Intro_050317-HS_Admin Intro_050317-CONTROL	2017/05/18 19:40:00	VerifyHCPAdmin		31	0	0	0	0	         0	         0	         0	         0	         0					
0000000035	14388	HS_Admin Intro_050317-HS_Admin Intro_050317-TEST	2017/05/19 15:58:00	Admin Intro	050317-HS	201	4	0	0	0	         0	2	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=_credentialing@eyeboston.com&token=87330822&internal=221783			
0000000036	14392	HS_Clinician Intro_050317-HS_Clinician Intro_050317-CONTROL	2017/05/18 15:47:00	VerifyHCPClinician		137	8	1	0	0	         0	6	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=eburbanov@yahoo.com&token=85904350&internal=175943	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=goodeyes@att.net&token=77823230&internal=163423		
0000000037	14393	HS_Clinician Intro_050317-HS_Clinician Intro_050317-TEST	2017/05/19 19:08:00	Clinician Intro	050317-HS	73	0	0	0	0	         0	         0	         0	         0	         0					
0000000038	1442	HS_General Marketing_non doc_06-22-16	2016/07/30 20:38:00	CoreCoding2017		139	10	0	2	0	         0	7	         0	         0	         0		https://app.svwps.com/americanmedicalassociation/ama/preferencecenter/autounsub.html?user_id=10190803&addr1_unsb_ec_gen=off&utm_source=selligent&utm_medium=email&utm_term=1466607664&utm_content=hs_general+marketing_non+doc_06-22-16&utm_campaign=health+sol	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2740044&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1466607713&utm_content=hs_general+marketing_non+doc_06-22-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/content/specialoffers?node_id=nn406&utm_source=selligent&utm_medium=email&utm_term=1466607630&utm_content=hs_general+marketing_non+doc_06-22-16&utm_campaign=health+solutions+general+marketing	
0000000039	14483	Credentialing_TaxExempt2017_050317	2017/05/22 11:28:00	CredentialingAlerts		320	0	0	0	0	         0	         0	         0	         0	         0					
0000000040	14629	HS_BYOP2017_SendB_addr1_050417	2017/05/18 13:47:00	BYOP2017		1075	64	0	0	0	         0	6	         0	         0	         0		https://commerce.ama-assn.org/store/content/build-your-own-package?node_id=build your own package&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_byop2017_sendb_addr1_050417&utm_campaign=byop_2017&utm_uid=10181705&utm_effort=	https://commerce.ama-assn.org/store/content/build-your-own-package?node_id=build your own package&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_byop2017_sendb_addr1_050417&utm_campaign=byop_2017&utm_uid=11390790&utm_effort=		
0000000041	14742	HS_Marketing_PrinciplesCPT_051017	2017/05/18 13:17:00	PrinciplesCPT		770	16	0	0	0	         0	2	         0	         0	         0		http://info.commerce.ama-assn.org/instructor-request?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_marketing_principlescpt_051017&utm_campaign=principles_cpt&utm_uid=10127708&utm_effort=	http://info.commerce.ama-assn.org/instructor-request?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_marketing_principlescpt_051017&utm_campaign=principles_cpt&utm_uid=10356474&utm_effort=	https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_marketing_principlescpt_051017&utm_campaign=principles_cpt&utm_uid=10356474&utm_effort=	
0000000042	14745	HS_Marketing_PrinciplesCPTPastPurchasers_051017	2017/05/19 15:49:00	PrinciplesCPT		55	0	0	0	0	         0	         0	         0	         0	         0					
0000000043	1477	HS_General Marketing_non doc_06-23-16	2016/07/30 20:03:00	CoreCoding2017		393	9	4	1	0	         0	2	         0	         0	         0		http://www.ama-assn.org/ama?utm_source=selligent&utm_medium=email&utm_term=1466694034&utm_content=hs_general+marketing_non+doc_06-23-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2720011&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1466694048&utm_content=hs_general+marketing_non+doc_06-23-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=1466694051&utm_content=hs_general+marketing_non+doc_06-23-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2720003&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1466694051&utm_content=hs_general+marketing_non+doc_06-23-16&utm_campaign=health+solutions+general+marketing
0000000044	14978	HS_Admin Intro_051017-HS_Admin Intro_051017-CONTROL	2017/05/18 13:03:00	VerifyHCPAdmin		103	26	0	0	0	         0	25	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=lizac@cchccenters.org&token=65040239&internal=231293	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=nponcedeleon@arroyovista.org&token=70862400&internal=238573	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=janice.rha@albertmakmd.com&token=32898918&internal=233293	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=yaniraperezmd@gmail.com&token=90596026&internal=239473
0000000045	14979	HS_Admin Intro_051017-HS_Admin Intro_051017-TEST	2017/05/18 13:25:00	VerifyHCPAdmin		147	24	0	0	0	         0	16	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=billing@wcgtx.com&token=93168942&internal=240374	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=urology.clinic@doctor.com&token=51464193&internal=234053	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=akitchens@synergymd.org&token=94221369&internal=257114	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=pbpedsgifax@gmail.com&token=77948059&internal=252984
0000000046	14993	HS_Clinician Intro_051017-HS_Clinician Intro_051017-CONTROL	2017/05/18 13:01:00	VerifyHCPClinician		1015	47	12	0	0	         0	5	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=accounts.payable@abramscpa.com&token=87050212&internal=156601	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=allenbswift@yahoo.com&token=65367907&internal=111121	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=cari.mccarthy@calneuro.org&token=32488737&internal=195793	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=carla.wells@cox.net&token=90119058&internal=215843
0000000047	14994	HS_Clinician Intro_051017-HS_Clinician Intro_051017-TEST	2017/05/18 13:06:00	VerifyHCPClinician		895	79	4	0	0	         0	9	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=claffey2@gracepointwellness.org&token=59201800&internal=261104	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=jacqui.m@vmrinstitute.com&token=62755112&internal=208903	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=mymiamioptical@gmail.com&token=60659656&internal=31141	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=janetmca@pacbell.net&token=34799559&internal=198633
0000000048	15015	HS_Admin Reminder_051017	2017/05/18 13:01:00	VerifyHCPAdmin		232	28	4	0	0	         0	12	         0	         0	         0		https://healthcare.custhelp.com/app/answers/list	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=mleskey@eyecareassociates.com&token=71475086&internal=221103	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=alliedeye@choiceonemail.com&token=17417768&internal=223893	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=dlpmercm@gmail.com&token=79871706&internal=227833
0000000049	15016	HS_Clinician Reminder_051017	2017/05/18 13:01:00	VerifyHCPClinician		576	163	2	0	0	         0	28	         0	         0	         0		https://www.facebook.com/americanmedicalassociation	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=sandra.adas@stjohn.org&token=79604708&internal=164353	https://healthcare.custhelp.com/app/answers/list	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=k.chandrasekhar335@gmail.com&token=56668883&internal=161903
0000000050	15161	HS_ChannelMarketing_2018CodeBooksResellers_051217	2017/05/20 07:41:00	ChannelMarketing		170	16	0	0	0	         0	9	         0	         0	         0		http://ama-assn.org/partner-resources?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_2018codebooksresellers_051217&utm_campaign=health+solutions+channel+marketing&utm_uid=10225955&utm_effort=	http://ama-assn.org/partner-resources?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_2018codebooksresellers_051217&utm_campaign=health+solutions+channel+marketing&utm_uid=11180036&utm_effort=	http://ama-assn.org/partner-resources?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_2018codebooksresellers_051217&utm_campaign=health+solutions+channel+marketing&utm_uid=9982956&utm_effort=	https://ama-assn.org/partner-resources?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_2018codebooksresellers_051217&utm_campaign=health+solutions+channel+marketing&utm_uid=9982956&utm_effort=
0000000051	15162	HS_ChannelMarketing_2018CodeBooksAcademics_051217	2017/05/18 16:10:00	ChannelMarketing		257	8	0	0	0	         0	3	         0	         0	         0		https://ama-assn.org/partner-resources?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_channelmarketing_2018codebooksacademics_051217&utm_campaign=health+solutions+channel+marketing&utm_uid=11181036&utm_effort=			
0000000052	1520	HS_Gen Marketing_non doc_06-27-16	2016/07/30 08:55:00	CPTApp		204	12	4	0	0	         0	6	         0	         0	         0		https://commerce.ama-assn.org/store/signup/emailcatalogsignup.jsp?node_id=nn1003&utm_source=selligent&utm_medium=email&utm_term=1467039629&utm_content=hs_gen+marketing_non+doc_06-27-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/content/specialoffers?node_id=nn406&utm_source=selligent&utm_medium=email&utm_term=1467039629&utm_content=hs_gen+marketing_non+doc_06-27-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod2740050&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1467039658&utm_content=hs_gen+marketing_non+doc_06-27-16&utm_campaign=health+solutions+general+marketing	https://commerce.ama-assn.org/store/content/specialoffers?node_id=nn406&utm_source=selligent&utm_medium=email&utm_term=1467039646&utm_content=hs_gen+marketing_non+doc_06-27-16&utm_campaign=health+solutions+general+marketing
0000000053	15224	HS_CoreCoding2018_SendB_050517	2017/05/18 13:06:00	CoreCoding2018		1738	111	0	0	0	         0	6	         0	         0	         0		https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2018_sendb_050517&utm_campaign=health+solutions+general+marketing&utm_uid=10163054&utm_effort=	https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2018_sendb_050517&utm_campaign=health+solutions+general+marketing&utm_uid=8617169&utm_effort=	https://commerce.ama-assn.org/store/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2018_sendb_050517&utm_campaign=health+solutions+general+marketing&utm_uid=10099298&utm_effort=	https://commerce.ama-assn.org/store/content/specialoffers?node_id=nn406&utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=hs_corecoding2018_sendb_050517&utm_campaign=health+solutions+general+marketing&utm_uid=8617169&utm_effort=
0000000054	15367	HS_Clinician Intro_051717-Split_1	2017/05/18 14:00:00	VerifyHCPClinician		4121	471	14	0	3266	126	11	0	         0	100		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=acarroll@rockinghorsecenter.org&token=21028563&internal=37311	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=info@cfts-wi.com&token=72228906&internal=310514	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=jhlicht222@gmail.com&token=81904029&internal=76801	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=aliceson74@yahoo.com&token=19103316&internal=111721
0000000055	15368	HS_Clinician Intro_051717-Split_2	2017/05/18 14:00:00	VerifyHCPClinician		3622	517	21	0	3251	111	14	1	         0	99		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=carla@momedaff.com&token=71639146&internal=276584	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=bettypatterson@bhcpartners.org&token=27338402&internal=100051	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=janette.kumming@vantagepointnwa.com&token=80011850&internal=309004	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=credentialing@kidneycares.com&token=20535781&internal=124951
0000000056	15389	HS_Admin Intro_051717-Copy of HS_Admin Intro_051717-Split_1	2017/05/18 14:00:00	VerifyHCPAdmin		1513	292	7	0	1488	102	19	0	         0	100		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=kayla.rogers@bowencenter.org&token=84258858&internal=305154	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=dlacy@hapkids.org&token=93036326&internal=296324	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=vickie.brumbelow@mana.md&token=41610470&internal=240864	https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=_credentialing@eyeboston.com&token=87330822&internal=221783
