RECSEQ	EMPPID	ORDER_NO	LINE_NO	CANCEL_DATE	CATALOG_ID	PROMO_CD	SHIPTO_CUSTID	BILLTO_CUSTID	PRODUCT_NO	QTY_CANCELLED	PRICE_EACH	TAX_EACH	OTHER_CHARGE	DISCOUNT_EACH	REASON_CODE	REASON_DESC	CAMPAIGN_CODE	DEMO_CODE	INSERT_DTM	UPDATE_DTM	PRODUCT_DESC	VENDOR_NUMBER	VENDOR_NAME	PRODUCT_COST	DISCONTINUED	THEME_CODE	PRODLINE_DESC	AMA_PROD_NO	PRODUCT_LINE	PROMO_DESC	QTY_MAILED
0000000014	0000054594	45966592	001004	2018/05/03 00:00:00	UNK	UNKMC	61042046	61042046	NC060118	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	UNK	MC			CPT 2018 Data File_PLA Q3 Updt	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	NC060118	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000015	0000054594	45966592	001005	2018/05/03 00:00:00	UNK	UNKMC	61042046	61042046	NC090118	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	UNK	MC			CPT 2018 Data File_PLA Q4 Updt	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	NC090118	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000016	0000054910	45927761	008000	2017/12/07 00:00:00	FZB	FZBA12	33135377	33135377	OP590918	0000000002	000480.00	0000000000	0000000000	0000000000		NONE	FZB	A12			OPTHALMIC CODING COACH 20189781681040905	000000	*NONE	312.00	N	4150BP47	Coding And Reimbursements	OP590918	3		
0000000017	0000056516	45996437	001000	2018/09/26 00:00:00	CIX	CIX	36930882	36930881	OP231519	0000000001	000073.47	0000000000	0000000000	0000000000		NONE	CIX	UNK			HCPCS 2019 SPIRAL9781622027798	000000	*NONE	12.60	N	4150BP36	Coding And Reimbursements	OP231519	3	ONLINE CATALOG ORD MEMBER	00498962
0000000018	0000056516	45996437	002000	2018/09/26 00:00:00	CIX	CIX	36930882	36930881	OP512919	0000000001	000058.07	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT CHANGES 20199781622027545	000000	*NONE	3.05	N	4150AC34	Coding And Reimbursements	OP512919	3	ONLINE CATALOG ORD MEMBER	00498962
0000000019	0000058040	45937923	001050	2018/01/08 00:00:00	CIX	CIX	35387894	35387894	OP059618	0000000001	000079.96	0000000000	0000000000	0000000000		NONE	CIX	UNK			RBRVS 2018 PHYSICIANS GUIDE9781622026142	000000	*NONE	4.95	N	4150AC28	Coding And Reimbursements	OP059618	3	ONLINE CATALOG ORD MEMBER	00498962
0000000020	0000058040	45937923	001030	2018/01/08 00:00:00	CIX	CIX	35387894	35387894	OP231518	0000000001	000079.96	0000000000	0000000000	0000000000		NONE	CIX	UNK			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3	ONLINE CATALOG ORD MEMBER	00498962
0000000021	0000060825	45971695	002000	2018/09/21 00:00:00	TGM	TGMA10	35144952	35144952	EP054119	0000000001	000093.56	0000000000	0000000000	0000000000		NONE	TGM	A10			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000022	0000060825	45971695	004000	2018/09/21 00:00:00	TGM	TGMA10	35144952	35144952	OP108719	0000000001	000089.21	0000000000	0000000000	0000000000		NONE	TGM	A10			AAB-HCPCS 20199781622027798	000000	*NONE	.00	N	4150BP36	Coding And Reimbursements	OP108719	3		
0000000023	0000060825	45971695	003000	2018/09/21 00:00:00	TGM	TGMA10	35144952	35144952	OP512919	0000000001	000066.36	0000000000	0000000000	0000000000		NONE	TGM	A10			CPT CHANGES 20199781622027545	000000	*NONE	3.05	N	4150AC34	Coding And Reimbursements	OP512919	3		
0000000024	0000061727	45955308	002000	2018/07/31 00:00:00	CIX	CIX	29789583	29789583	OP548017	0000000001	000089.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CDI FOR OUTPATIENT CARE9781584265849	278142	AHIMA	53.97	N	4150BP47	Coding And Reimbursements	OP548017	3	ONLINE CATALOG ORD MEMBER	00498962
0000000025	0000061746	45981503	001000	2018/06/05 00:00:00	CIX	CIX	36597998	36597998	EB258619	0000000001	000179.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT CE 2019: CARDIOLOGY EB9781622027668	000000	*NONE	.00	N	4145AC60	Coding And Reimbursements	EB258619	3	ONLINE CATALOG ORD MEMBER	00498962
0000000026	0000061746	45981503	002000	2018/06/05 00:00:00	CIX	CIX	36597998	36597998	OP258618	0000000001	000179.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT CE 2018: CARDIOLOGY9781622027064	035217	DECISION HEALTH	40.45	N	4150AC60	Coding And Reimbursements	OP258618	3	ONLINE CATALOG ORD MEMBER	00498962
0000000027	0000062851	45996395	009000	2018/09/24 00:00:00	4BO	4BOOK25	85319228	85319228	EP054119	0000000011	000087.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000028	0000062851	45996395	010000	2018/09/24 00:00:00	4BO	4BOOK25	85319228	85319228	EP054119	0000000003	000087.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000029	0000062851	45996395	001000	2018/09/18 00:00:00	4BO	4BOOK25	85319228	85319228	EP054119	0000000025	000087.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000030	0000062851	45996395	002000	2018/09/18 00:00:00	4BO	4BOOK25	85319228	85319228	OP201119	0000000020	000081.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3		
0000000031	0000062888	46029470	001000	2019/07/11 00:00:00	AMA	AMAINT0	37222596	37222596	NC258818	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	AMA	INT0			CPT CE 2018: GEN SURG/GST NC9781622027071	000000	*NONE	36.50	N	4150AC61	Coding And Reimbursements	NC258818	3		
0000000032	0000063498	45993547	001000	2018/09/24 00:00:00	4BO	4BOOK20	21828112	21828112	OP201419	0000000020	000087.16	0000000000	0000000000	0000000000		NONE	4BO	OK20			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3		
0000000033	0000063786	45996398	009000	2018/09/21 00:00:00	4BO	4BOOK25	23912918	23912918	EP054119	0000000010	000087.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000034	0000063786	45996398	002000	2018/09/05 00:00:00	4BO	4BOOK25	23912918	23912918	EP054119	0000000020	000087.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			CPT PRO 20199781622027521	000000	*NONE	4.14	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000035	0000063786	45996398	001000	2018/09/05 00:00:00	4BO	4BOOK25	23912918	23912918	OP201119	0000000015	000081.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3		
0000000036	0000064164	45973237	001000	2018/05/02 00:00:00	CIX	CIX	36412196	36412196	OP059619	0000000001	000099.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			MEDIACRE RBRVS 20199781622027811	000000	*NONE	4.95	N	4150AC28	Coding And Reimbursements	OP059619	3	ONLINE CATALOG ORD MEMBER	00498962
0000000037	0000065540	45938915	001000	2017/12/26 00:00:00	CIX	CIX	35395641	35395641	ER414118	0000000001	000021.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			ERC-CPT-'18-UROLOGY/NEPHROLOGY9781622026333	928261	BADGER PRESS	1.75	N	4150AC21	Coding And Reimbursements	ER414118	3	ONLINE CATALOG ORD MEMBER	00498962
0000000038	0000065894	46083510	001000	2019/09/13 00:00:00	LPC	LPCC5419	78072612	78072612	OP134820	0000000001	000010.50	0000000000	0000000000	0000000000		NONE	LPC	C5419			E/M POCKET GUIDE 20209781622029020	976111	VISOGRAPHIC INC	3.49	N	4150AC21	Coding And Reimbursements	OP134820	3		
0000000039	0000067096	45999460	001010	2018/09/17 00:00:00	CIX	CIX	36978162	36978162	EP054119	0000000002	000093.56	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000040	0000067096	45999460	002010	2018/09/17 00:00:00	CIX	CIX	36978162	36978162	EP054119	0000000001	000093.56	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000041	0000067096	45999460	001020	2018/09/17 00:00:00	CIX	CIX	36978162	36978162	OP201419	0000000002	000087.16	0000000000	0000000000	0000000000		NONE	CIX	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000000	*NONE	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3	ONLINE CATALOG ORD MEMBER	00498962
0000000042	0000067096	45999460	002020	2018/09/17 00:00:00	CIX	CIX	36978162	36978162	OP201419	0000000001	000087.16	0000000000	0000000000	0000000000		NONE	CIX	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000000	*NONE	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3	ONLINE CATALOG ORD MEMBER	00498962
0000000043	0000067096	45999460	001030	2018/09/17 00:00:00	CIX	CIX	36978162	36978162	OP231519	0000000002	000083.96	0000000000	0000000000	0000000000		NONE	CIX	UNK			HCPCS 2019 SPIRAL9781622027798	000000	*NONE	12.60	N	4150BP36	Coding And Reimbursements	OP231519	3	ONLINE CATALOG ORD MEMBER	00498962
0000000044	0000067096	45999460	002030	2018/09/17 00:00:00	CIX	CIX	36978162	36978162	OP512919	0000000001	000066.36	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT CHANGES 20199781622027545	000000	*NONE	3.05	N	4150AC34	Coding And Reimbursements	OP512919	3	ONLINE CATALOG ORD MEMBER	00498962
0000000045	0000067357	45990601	001000	2018/08/23 00:00:00	4RE	4RESELL4	49396052	78109794	OP083418	0000000005	000101.21	0000000000	0000000000	0000000000		NONE	4RE	SELL4			OPTUM DRG EXPERT 20189781622543373	000250	OPTUM - CUST 130006	78.27	N	4150BP71	Coding And Reimbursements	OP083418	3		
0000000046	0000067888	46109161	001000	2019/10/07 00:00:00	THO	THOA10	17316594	17316594	EP054120	0000000001	000118.95	0000000000	0000000000	0000000000		NONE	THO	A10			CPT PRO 20209781622028986	861190	LSC COMMUNICATIONS	6.70	N	4150AC36	Coding And Reimbursements	EP054120	3		
0000000047	0000067888	46109161	002000	2019/10/07 00:00:00	THO	THOA10	17316594	17316594	OP201420	0000000001	000108.95	0000000000	0000000000	0000000000		NONE	THO	A10			ICD10CM 2020 - GUIDELINES9781622029235	433691	OPTUM360	15.79	N	4150BQ44	Coding And Reimbursements	OP201420	3		
0000000048	0000069445	45998442	001000	2018/09/27 00:00:00	CIX	CIX	36963878	36963877	EB054119	0000000001	000087.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT STANDARD 2019 EB9781622027514	000000	*NONE	.00	N	4145AC35	Coding And Reimbursements	EB054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000049	0000069560	46092593	001040	2019/10/01 00:00:00	DCVM	DCVV5219	28896027	28896027	AP142620	0000000001	000028.64	0000000000	0000000000	0000000000		NONE	DCV	V5219			CPT QUICK REF W/FULL CODE SET	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP142620	3		
0000000050	0000069560	46092593	001030	2019/10/01 00:00:00	DCVM	DCVV5219	28896027	28896027	AP500920	0000000001	000019.10	0000000000	0000000000	0000000000		NONE	DCV	V5219			CPT ASST ELECTRONIC 1 YEAR SUB	000000	*NONE	.00	N	4131AC52	Coding And Reimbursements	AP500920	3		
0000000051	0000069560	46092593	001010	2019/10/01 00:00:00	DCVM	DCVV5219	28896027	28896027	AP888820	0000000001	000056.80	0000000000	0000000000	0000000000		NONE	DCV	V5219			CPT 2020 PROFESSIONAL EDITION	976111	VISOGRAPHIC INC	6.70	N	4150AC36	Coding And Reimbursements	AP888820	3		
0000000052	0000070930	45931900	001003	2018/02/02 00:00:00	FXZ	FXZ	52590665	52590665	OP231518	0000000025	000079.96	0000000000	0000000000	0000000000		NONE	FXZ	UNK			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000053	0000072007	46132145	015000	2019/10/04 00:00:00	THK	THKA12	29378869	13566490	OP202220	0000000001	000092.61	0000000000	0000000000	0000000000		NONE	THK	A12			AAB-ICD10PCS 20209781622029266	000000	*NONE	14.46	N	4150BQ45	Coding And Reimbursements	OP202220	3		
0000000054	0000072151	46100551	001000	2019/07/12 00:00:00	THHM	THHA13	25436577	25436577	OP086903	0000000001	000354.95	0000000000	0000000000	0000000000		NONE	THH	A13			OPTUM MEDICARE CORR CODE GDE9781563379406	000000	*NONE	208.77	Y	4150BP71	Coding And Reimbursements	OP086903	3		
0000000055	0000073778	45940602	001030	2018/05/03 00:00:00	UNK	UNKMC	35334164	35334164	NC060118	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	UNK	MC			CPT 2018 Data File_PLA Q3 Updt	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	NC060118	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000056	0000073778	45940602	001040	2018/05/03 00:00:00	UNK	UNKMC	35334164	35334164	NC090118	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	UNK	MC			CPT 2018 Data File_PLA Q4 Updt	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	NC090118	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000057	0000078257	45928388	001005	2018/02/13 00:00:00	FXZM	FXZ	87754280	87754280	OP059618	0000000001	000070.45	0000000000	0000000000	0000000000		NONE	FXZ	UNK			RBRVS 2018 PHYSICIANS GUIDE9781622026142	174812	PA HUTCHINSON	6.15	N	4150AC28	Coding And Reimbursements	OP059618	3		
0000000058	0000080630	45997411	001000	2018/09/17 00:00:00	UUVM	UUVV318	35007992	35007992	OP512919	0000000012	000061.95	0000000000	0000000000	0000000000		NONE	UUV	V318			CPT CHANGES 20199781622027545	000000	*NONE	3.05	N	4150AC34	Coding And Reimbursements	OP512919	3		
0000000059	0000081448	46037996	003000	2019/02/19 00:00:00	F1VM	F1VV218	96911631	51562812	OP614019	0000000001	000284.00	0000000000	0000000000	0000000000		NONE	F1V	V218			2019 NAVIGATOR FOR DIAG RADIO	317110	CODING STRATEGIES	187.85	N	4150BP47	Coding And Reimbursements	OP614019	3		
0000000060	0000081448	46038003	001000	2019/02/19 00:00:00	F1VM	F1VV218	96911631	51562812	OP615519	0000000001	000284.00	0000000000	0000000000	0000000000		NONE	F1V	V218			2019 NAVIGATOR FOR INTRVEN RAD	317110	CODING STRATEGIES	187.85	N	4150BP47	Coding And Reimbursements	OP615519	3		
0000000061	0000081745	45990487	002000	2018/08/14 00:00:00	CIX	CIX	36833754	36833754	EP054119	0000000001	000116.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT PRO 20199781622027521	000000	*NONE	4.14	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000062	0000081745	45990487	001000	2018/08/14 00:00:00	CIX	CIX	36833754	36833754	OP201419	0000000001	000108.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000000	*NONE	19.50	N	4150BQ44	Coding And Reimbursements	OP201419	3	ONLINE CATALOG ORD MEMBER	00498962
0000000063	0000082305	46104672	001000	2019/08/06 00:00:00	EZT	EZT	30794148	01737975	EB054120	0000000001	000061.57	0000000000	0000000000	0000000000		NONE	EZT	UNK			CPT STANDARD 2020 EB9781622028979	000000	*NONE	.00	Y	4145AC35	Coding And Reimbursements	EB054120	3	BLUE CROSS BLUE SHEILD MEMBER	00000000
0000000064	0000082810	45940335	006000	2018/01/02 00:00:00	FXZ	FXZ	01685083	01685083	OP231518	0000000002	000099.95	0000000000	0000000000	0000000000		NONE	FXZ	UNK			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000065	0000083693	46001769	004000	2019/01/14 00:00:00	TGK	TGKA12	01823778	01823778	OP231519	0000000002	000083.96	0000000000	0000000000	0000000000		NONE	TGK	A12			HCPCS 2019 SPIRAL9781622027798	522347	ELSEVIER	10.86	N	4150BP36	Coding And Reimbursements	OP231519	3		
0000000066	0000084265	45928979	003000	2018/01/08 00:00:00	FZBM	FZBA10	30952976	30952976	OP231518	0000000001	000079.95	0000000000	0000000000	0000000000		NONE	FZB	A10			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000067	0000084630	45894959	001000	2019/01/14 00:00:00	FXZM	FXZ	14905689	14905689	OP203708	0000000001	000026.95	0000000000	0000000000	0000000000		NONE	FXZ	UNK			Gdes 6th Imp Trng Wkbk-Spine9781603590983	046009	MCNAUGHTON GUNN, INC	3.60	N	4150BQ66	Clinical	OP203708	8		
0000000068	0000087149	46084697	001000	2019/05/06 00:00:00	UUV	UUVV419	01830819	01830819	NG034096	0000000001	000320.00	0000000000	0000000000	0000000000		NONE	UUV	V419			GDS EVAL PERM IMPRMN NWSLETTER	000000	*NONE	.00	N	2644BP60	Clinical	NG034096	8		
0000000069	0000088453	45931898	001030	2017/12/19 00:00:00	CIXM	CIX	35259043	35259042	OP231518	0000000001	000073.55	0000000000	0000000000	0000000000		NONE	CIX	UNK			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3	ONLINE CATALOG ORD MEMBER	00498962
0000000070	0000090332	45998362	001000	2018/09/13 00:00:00	CIX	CIX	36962008	36962008	OP201419	0000000001	000108.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000000	*NONE	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3	ONLINE CATALOG ORD MEMBER	00498962
0000000071	0000090613	45985186	001000	2018/07/23 00:00:00	4RE	4RESELL4	53783063	51167409	OP398418	0000000001	000137.25	0000000000	0000000000	0000000000		NONE	4RE	SELL4			MedL Interv Radiol Coder 20189781631511776	814880	MEDLEARN	128.10	N	4150BP47	Coding And Reimbursements	OP398418	3		
0000000072	0000090994	45955880	001002	2018/04/19 00:00:00	UNK	UNKWEB	31239415	31239415	NC060118	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	UNK	WEB			CPT 2018 Data File_PLA Q3 Updt	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	NC060118	3	UNKNOWN SOURCE CODE - ONLINE BOOKSTORE	00000000
0000000073	0000090994	45955880	001003	2018/04/19 00:00:00	UNK	UNKWEB	31239415	31239415	NC090118	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	UNK	WEB			CPT 2018 Data File_PLA Q4 Updt	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	NC090118	3	UNKNOWN SOURCE CODE - ONLINE BOOKSTORE	00000000
0000000074	0000092279	45942116	001000	2018/08/06 00:00:00	CIX	CIX	31911534	31911534	OP548017	0000000001	000089.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CDI FOR OUTPATIENT CARE9781584265849	278142	AHIMA	53.97	N	4150BP47	Coding And Reimbursements	OP548017	3	ONLINE CATALOG ORD MEMBER	00498962
0000000075	0000093165	46002271	005000	2019/01/07 00:00:00	CIX	CIX	37023999	37023998	OP231519	0000000001	000068.22	0000000000	0000000000	0000000000		NONE	CIX	UNK			HCPCS 2019 SPIRAL9781622027798	522347	ELSEVIER	10.86	N	4150BP36	Coding And Reimbursements	OP231519	3	ONLINE CATALOG ORD MEMBER	00498962
0000000076	0000094314	46085339	001000	2019/06/07 00:00:00	4RE	4RESELL4	01836118	01836118	OP636019	0000000200	000058.27	0000000000	0000000000	0000000000		NONE	4RE	SELL4			MEDICOLEGAL PRACTICE9781622028849	174812	PA HUTCHINSON	2.05	N	4150BP81	Clinical	OP636019	8		
0000000077	0000102016	46100878	001000	2019/07/05 00:00:00	4BO	4BOOK25	57303106	01859999	OP201420	0000000040	000081.71	0000000000	0000000000	0000000000		NONE	4BO	OK25			ICD10CM 2020 - GUIDELINES9781622029235	000000	*NONE	15.49	N	4150BQ44	Coding And Reimbursements	OP201420	3		
0000000078	0000102654	46107681	002000	2019/10/22 00:00:00	THMM	THMA12	29995631	29995631	EP054120	0000000005	000081.43	0000000000	0000000000	0000000000		NONE	THM	A12			CPT PRO 20209781622028986	861190	LSC COMMUNICATIONS	6.70	N	4150AC36	Coding And Reimbursements	EP054120	3		
0000000079	0000102654	46107681	007000	2019/10/22 00:00:00	THMM	THMA12	29995631	29995631	EP054120	0000000001	000082.27	0000000000	0000000000	0000000000		NONE	THM	A12			CPT PRO 20209781622028986	861190	LSC COMMUNICATIONS	6.70	N	4150AC36	Coding And Reimbursements	EP054120	3		
0000000080	0000102654	46107681	004000	2019/10/22 00:00:00	THMM	THMA12	29995631	29995631	OP231520	0000000001	000058.36	0000000000	0000000000	0000000000		NONE	THM	A12			HCPCS 2020 SPIRAL9781622029303	000000	*NONE	10.92	N	4150BP36	Coding And Reimbursements	OP231520	3		
0000000081	0000102654	46107681	005000	2019/10/22 00:00:00	THMM	THMA12	29995631	29995631	OP512920	0000000001	000046.68	0000000000	0000000000	0000000000		NONE	THM	A12			CPT CHANGES 20209781622029006	000000	*NONE	4.14	N	4150AC34	Coding And Reimbursements	OP512920	3		
0000000082	0000102654	46107681	009000	2019/10/22 00:00:00	THMM	THMA12	29995631	29995631	OP594220	0000000001	000194.95	0000000000	0000000000	0000000000		NONE	THM	A12			OPTUM CODING COMP ENT 209781622545650	000000	*NONE	115.97	N	4150BP71	Coding And Reimbursements	OP594220	3		
