RECSEQ	EMPPID	ORDER_NO	LINE_NO	RETURN_DATE	CATALOG_ID	PROMO_CD	SHIPTO_CUSTID	BILLTO_CUSTID	PRODUCT_NO	RETURNED_QTY	PRICE_EACH	TAX_EACH	OTHER_CHARGE	DISCOUNT	REASON_CODE	REASON_DESC	CAMPAIGN_CODE	DEMO_CODE	INSERT_DTM	UPDATE_DTM	PRODUCT_DESC	VENDOR_NUMBER	VENDOR_NAME	PRODUCT_COST	DISCONTINUED	THEME_CODE	PRODLINE_DESC	AMA_PROD_NO	PRODUCT_LINE	PROMO_DESC	QTY_MAILED
0000000018	0000042585	45915891	000100	2018/01/30 00:00:00	RES	RESHIP	01738888	01738888	OP595318	0000000001	000000.00	0000000000	0000000000	0000000000	R13	PBD ERROR - MISPICK	RES	HIP			OPTUM CODING COMP RADIOLOGY 189781622543045	000250	OPTUM - CUST 130006	115.97	N	4150BP71	Coding And Reimbursements	OP595318	3	RESHIP OF CUSTOMER ORDER	00000000
0000000019	0000045309	45928831	000200	2018/04/05 00:00:00	4BO	4BOOK20	97189697	97189697	EP054117	0000000023	000091.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PROFESSIONAL 2017 SPIRAL9781622024001	861190	LSC COMMUNICATIONS	4.34	N	4150AC36	Coding And Reimbursements	EP054117	3		
0000000020	0000045309	45994523	000100	2019/04/04 00:00:00	4BO	4BOOK20	97189697	97189697	OP533218	0000000012	000087.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			OPTUM ICD10CM PROF FOR PHYS 189781622543953	000250	OPTUM - CUST 130006	63.77	Y	4150BQ90	Coding And Reimbursements	OP533218	3		
0000000021	0000046615	46007506	000100	2018/12/11 00:00:00	4BO	4BOOK20	84463640	84463640	EP054119	0000000002	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000022	0000047045	45951649	000100	2018/01/22 00:00:00	CIX	CIX	35726566	35726566	OP398418	0000000001	000183.00	0000000000	0000000000	0000000000	R8	DUPLICATION	CIX	UNK			MedL Interv Radiol Coder 20189781631511776	814880	MEDLEARN	128.10	N	4150BP47	Coding And Reimbursements	OP398418	3	ONLINE CATALOG ORD MEMBER	00498962
0000000023	0000048137	46056064	000100	2019/10/15 00:00:00	4BO	4BOOK20	37645624	37645624	EP054119	0000000001	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000024	0000048137	46056064	000100	2019/10/15 00:00:00	4BO	4BOOK20	37645624	37645624	EP054119	0000000001	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000025	0000048455	45951438	000100	2018/04/24 00:00:00	4BO	4BOOK20	01852030	01852030	OP533818	0000000030	000087.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			OPTUM ICD10CM PROF FOR HOSP 189781622543977	000250	OPTUM - CUST 130006	63.77	N	4150BQ90	Coding And Reimbursements	OP533818	3		
0000000026	0000048455	45953896	000100	2018/04/24 00:00:00	4BO	4BOOK20	01852030	01852030	OP533818	0000000002	000087.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			OPTUM ICD10CM PROF FOR HOSP 189781622543977	000250	OPTUM - CUST 130006	63.77	N	4150BQ90	Coding And Reimbursements	OP533818	3		
0000000027	0000049574	45948459	000200	2018/03/30 00:00:00	4BO	4BOOK20	65059609	65059609	EP054118	0000000002	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000028	0000049574	45948459	000100	2018/03/30 00:00:00	4BO	4BOOK20	65059609	65059609	OP201418	0000000002	000083.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000029	0000049574	45959392	000100	2018/02/26 00:00:00	4BO	4BOOK20	65059609	65059609	OP214418	0000000001	000090.36	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			AHA ICD10CM&PCS HB W/O ANS 189781556484339	702279	HEALTH FORUM	67.77	N	4150BQ90	Coding And Reimbursements	OP214418	3		
0000000030	0000049574	46001351	000200	2019/01/24 00:00:00	4BO	4BOOK20	65059609	65059609	OP201419	0000000002	000087.16	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3		
0000000031	0000049574	46104282	000100	2019/10/15 00:00:00	4BO	4BOOK25	65059609	65059609	EP054119	0000000020	000087.71	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK25			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000032	0000050799	45916389	000100	2018/01/09 00:00:00	FZFM	FZF	10202333	10202333	OP231518	0000000001	000073.55	0000000000	0000000000	0000000000	R12	3 FAILED DELIVERY ATTEMPTS	FZF	UNK			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000033	0000051742	46030008	000200	2019/01/25 00:00:00	CIXM	CIX	37312294	37312293	OP201119	0000000001	000081.95	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	CIX	UNK			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000034	0000052380	45946324	000100	2017/12/12 00:00:00	CIX	CIX	35561836	35561836	OP301014	0000000001	000099.95	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	CIX	UNK			Medical Record Auditor 4E9781622021017	174812	PA HUTCHINSON	5.10	N	4150BP40	Coding And Reimbursements	OP301014	3	ONLINE CATALOG ORD MEMBER	00498962
0000000035	0000054123	46031139	000103	2019/01/08 00:00:00	CIXM	CIX	37328163	37328163	OP231519	0000000002	000075.15	0000000000	0000000000	0000000000	R8	DUPLICATION	CIX	UNK			HCPCS 2019 SPIRAL9781622027798	522347	ELSEVIER	10.86	N	4150BP36	Coding And Reimbursements	OP231519	3	ONLINE CATALOG ORD MEMBER	00498962
0000000036	0000054258	46104496	000100	2019/10/15 00:00:00	THA	THAA11	28335772	28335772	EP054119	0000000018	000079.53	0000000000	0000000000	0000000000	R22	Overstock	THA	A11			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000037	0000054258	46104496	000300	2019/10/15 00:00:00	THA	THAA11	28335772	28335772	OP201119	0000000007	000056.65	0000000000	0000000000	0000000000	R22	Overstock	THA	A11			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.80	N	4150BQ45	Coding And Reimbursements	OP201119	3		
0000000038	0000054258	46104496	000200	2019/10/15 00:00:00	THA	THAA11	28335772	28335772	OP201419	0000000010	000056.65	0000000000	0000000000	0000000000	R22	Overstock	THA	A11			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3		
0000000039	0000054258	46104496	000400	2019/10/15 00:00:00	THA	THAA11	28335772	28335772	OP231519	0000000009	000057.72	0000000000	0000000000	0000000000	R22	Overstock	THA	A11			HCPCS 2019 SPIRAL9781622027798	522347	ELSEVIER	10.86	N	4150BP36	Coding And Reimbursements	OP231519	3		
0000000040	0000054809	46018933	000100	2018/11/29 00:00:00	TGL	TGLA17	72000714	69974948	OP535419	0000000001	000090.97	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	TGL	A17			OPTUM CODERS DESKREFICD10PCS199781622544462	433691	OPTUM360	81.17	N	4150BP71	Coding And Reimbursements	OP535419	3		
0000000041	0000055063	45916102	000100	2017/12/12 00:00:00	FXZM	FXZ	30455046	30455046	EP054118	0000000001	000082.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FXZ	UNK			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000042	0000055990	45955977	000100	2018/04/06 00:00:00	4BO	4BOOK20	01883206	01883206	OP201418	0000000006	000083.96	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000043	0000056516	45996437	000400	2018/09/26 00:00:00	CIX	CIX	36930882	36930881	EP054119	0000000001	000116.95	0000000000	0000000000	0000000000	R8	DUPLICATION	CIX	UNK			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000044	0000056516	45998489	000400	2018/10/10 00:00:00	CIX	CIX	36930882	36963868	OP201419	0000000001	000070.82	0000000000	0000000000	0000000000	R8	DUPLICATION	CIX	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3	ONLINE CATALOG ORD MEMBER	00498962
0000000045	0000056614	45999499	000100	2018/10/11 00:00:00	4BO	4BOOK20	55667109	55667109	EP054118	0000000020	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000046	0000058057	46076144	000100	2019/05/15 00:00:00	CIX	CIX	37724954	37724954	DL508819	0000000001	000095.00	0000000000	0000000000	0000000000	R18	CLIENT AUTHORIZED RETURN	CIX	UNK			CPT/RVU 2019 DATA FILE SINGLE	000000	*NONE	.00	N	2654AAA	Coding And Reimbursements	DL508819	3	ONLINE CATALOG ORD MEMBER	00498962
0000000047	0000058953	46000155	000300	2018/09/21 00:00:00	CIXM	CIX	92859639	30543094	ER448218	0000000001	000021.95	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			ERC-I10CM 18-CARDIO9781622026371	976111	VISOGRAPHIC INC	1.05	N	4150BQ48	Coding And Reimbursements	ER448218	3	ONLINE CATALOG ORD MEMBER	00498962
0000000048	0000058953	46000155	000400	2018/09/21 00:00:00	CIXM	CIX	92859639	30543094	ER450418	0000000001	000021.95	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			ERC-I10CM 18-INTERNAL9781622026470	976111	VISOGRAPHIC INC	1.05	N	4150BQ48	Coding And Reimbursements	ER450418	3	ONLINE CATALOG ORD MEMBER	00498962
0000000049	0000058953	46000155	000200	2018/09/21 00:00:00	CIXM	CIX	92859639	30543094	OP134819	0000000001	000011.00	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			E/M POCKET GUIDE 20199781622027569	976111	VISOGRAPHIC INC	1.65	N	4150AC21	Coding And Reimbursements	OP134819	3	ONLINE CATALOG ORD MEMBER	00498962
0000000050	0000059585	46015764	000100	2018/11/09 00:00:00	CIX	CIX	37163082	37163082	OP201119	0000000002	000070.82	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	CIX	UNK			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000051	0000061360	45955319	000600	2018/04/10 00:00:00	4DI	4DIR1EX2	57909321	94085029	EP054118	0000000003	000087.71	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4DI	R1EX2			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000052	0000061360	45955319	000100	2018/04/10 00:00:00	4DI	4DIR1EX2	57909321	94085029	OP201418	0000000003	000078.71	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4DI	R1EX2			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000053	0000063498	45959372	000200	2018/03/20 00:00:00	4BO	4BOOK20	21828112	21828112	OP054118	0000000005	000074.36	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT STANDARD 2018 SOFTBOUND9781622025985	933044	DONNELLEY RECEIVABLES	2.95	N	4150AC35	Coding And Reimbursements	OP054118	3		
0000000054	0000063498	45959372	000100	2018/03/20 00:00:00	4BO	4BOOK20	21828112	21828112	OP214418	0000000011	000090.36	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			AHA ICD10CM&PCS HB W/O ANS 189781556484339	702279	HEALTH FORUM	67.77	N	4150BQ90	Coding And Reimbursements	OP214418	3		
0000000055	0000063498	45999129	000100	2018/10/17 00:00:00	4BO	4BOOK20	21828112	21828112	OP054118	0000000004	000074.36	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT STANDARD 2018 SOFTBOUND9781622025985	933044	DONNELLEY RECEIVABLES	2.95	N	4150AC35	Coding And Reimbursements	OP054118	3		
0000000056	0000064338	45941069	000200	2018/01/05 00:00:00	4DI	4DIRST25	68601641	34836625	EP054118	0000000002	000087.71	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4DI	RST25			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000057	0000064338	45941069	000100	2018/01/05 00:00:00	4DI	4DIRST25	68601641	34836625	OP201418	0000000002	000078.71	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4DI	RST25			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000058	0000064338	45941069	000300	2018/01/05 00:00:00	4DI	4DIRST25	68601641	34836625	OP231518	0000000001	000074.96	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	4DI	RST25			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000059	0000064533	45951212	000200	2017/12/22 00:00:00	FYWM	FYWA11	01653101	01653101	EP054118	0000000001	000081.29	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FYW	A11			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000060	0000064533	45951212	000300	2017/12/22 00:00:00	FYWM	FYWA11	01653101	01653101	OP201418	0000000001	000074.35	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	FYW	A11			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
0000000061	0000064827	46003406	000600	2018/10/17 00:00:00	WGCM	WGCC7318	49818020	49818020	OP268418	0000000001	000122.80	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	WGC	C7318			CPT CE 2018: CARDIOLOGY-USC9781622027064	000000	*NONE	.00	N	4150AC60	Coding And Reimbursements	OP268418	3		
0000000062	0000064827	46003406	000500	2018/10/17 00:00:00	WGCM	WGCC7318	49818020	49818020	OP517518	0000000001	000054.55	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	WGC	C7318			CPT CHANGES 2018 USC9781622026029	000000	*NONE	.00	N	4150AC34	Coding And Reimbursements	OP517518	3		
0000000063	0000065807	45952559	000200	2018/03/30 00:00:00	4BO	4BOOK20	36206318	36206318	EP054118	0000000015	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000064	0000065807	45965128	000100	2018/03/30 00:00:00	4BO	4BOOK20	36206318	36206318	OP054118	0000000005	000074.36	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT STANDARD 2018 SOFTBOUND9781622025985	933044	DONNELLEY RECEIVABLES	2.95	N	4150AC35	Coding And Reimbursements	OP054118	3		
0000000065	0000065807	46102736	000100	2019/07/12 00:00:00	4BO	4BOOK20	10992375	10992375	EP054119	0000000008	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000066	0000065807	46102736	000200	2019/07/12 00:00:00	4BO	4BOOK20	10992375	10992375	OP201119	0000000005	000087.16	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.80	N	4150BQ45	Coding And Reimbursements	OP201119	3		
0000000067	0000065954	45992259	000100	2018/09/27 00:00:00	4BO	4BOOK20	99209356	99209356	OP054118	0000000001	000074.36	0000000000	0000000000	0000000000	R9	DAMAGED/DEFECTIVE	4BO	OK20			CPT STANDARD 2018 SOFTBOUND9781622025985	933044	DONNELLEY RECEIVABLES	2.95	N	4150AC35	Coding And Reimbursements	OP054118	3		
0000000068	0000066322	45960271	001000	2018/02/05 00:00:00	4RE	4RESELL4	41766053	33835231	EP054118	0000000003	000079.53	0000000000	0000000000	0000000000	R17	CUSTOMER MOVED	4RE	SELL4			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000069	0000067207	45988901	000100	2018/10/30 00:00:00	4BO	4BOOK20	01867251	01867251	EP054118	0000000001	000093.56	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3		
0000000070	0000067357	45927436	000100	2018/07/20 00:00:00	4RE	4RESELL4	49396052	78109794	OP301014	0000000003	000054.97	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			Medical Record Auditor 4E9781622021017	174812	PA HUTCHINSON	5.10	N	4150BP40	Coding And Reimbursements	OP301014	3		
0000000071	0000067357	45947813	000100	2018/07/20 00:00:00	4RE	4RESELL4	49396052	78109794	OP231518	0000000001	000054.97	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3		
0000000072	0000067357	45990592	000100	2019/02/12 00:00:00	4RE	4RESELL4	49396052	78109794	OP301014	0000000005	000054.97	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			Medical Record Auditor 4E9781622021017	174812	PA HUTCHINSON	5.10	N	4150BP40	Coding And Reimbursements	OP301014	3		
0000000073	0000067358	46029347	000100	2019/01/04 00:00:00	4RE	4RESELL4	38026718	78109794	OP201419	0000000070	000059.92	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3		
0000000074	0000067362	45963570	000100	2018/07/20 00:00:00	4RE	4RESELL4	58944479	78109794	OP533418	0000000001	000082.46	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			OPTUM ICD10PCS EXP PHYS 189781622543618	000250	OPTUM - CUST 130006	63.77	N	4150BQ90	Coding And Reimbursements	OP533418	3		
0000000075	0000067362	45965727	000100	2018/08/07 00:00:00	4RE	4RESELL4	07221166	78109794	OP201418	0000000003	000057.72	0000000000	0000000000	0000000000	R22	Overstock	4RE	SELL4			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3		
