Address,AlternatePhone,Carrier,City,Commercial,Date,Error,Industry,LineType,Name,OFFICE_TELEPHONE,PhoneType,State,Valid,Zipcode
301 University Blvd # 9128,N/A,AT&T,Galveston,TRUE,8/28/2018,,Ambulatory Health Care Services,Landline,University Of Texas Medical Branch Obstetrics & Gynecology,4097729507,Business,TX,TRUE,77550
2500 Dean Lesher Dr Ste A,18008879906,Comcast,Concord,TRUE,11/19/2016,,Computer and Electronic Product Manufacturing,FixedVOIP,Copy Pro Inc,9256891200,Business,CA,TRUE,94520
2155 Apperson Dr,15407723820,NTELOS Network,Salem,TRUE,2/28/2019,,Ambulatory Health Care Services,Landline,Lewisgale Sleep Medicine,5407723530,Business,VA,TRUE,24153
2200 Wabash Ave,N/A,Ameritech,Springfield,TRUE,2/28/2019,,Ambulatory Health Care Services,Landline,"Henry, Kaitlin D MD",2175287541,Business,IL,TRUE,62704
2 Cedar St Ste 1,N/A,MCImetro Access Transmission Services,Newark,TRUE,11/19/2016,,Educational Services,Landline,Newark Board Of Education,9737337360,Business,NJ,TRUE,7102
48 W 38th St FL 8,16464765052,,New York,TRUE,8/28/2018,,Administrative and Support Services,TollFree,Beenverified Inc,8885795910,Business,NY,TRUE,10018
85 Prescott St Ste 302,17744202611,XO Communications,Worcester,TRUE,11/18/2016,,Ambulatory Health Care Services,NonFixedVOIP,Umass Memorial Medical Group,5087559535,Business,MA,TRUE,1605
717 Delaware St SE Ste 1,N/A,AT&T,Minneapolis,TRUE,2/28/2019,,Ambulatory Health Care Services,Landline,Michele D Strachan MD,6126264260,Business,MN,TRUE,55414
1220 Meadow Rd Ste 210,N/A,Comcast,Northbrook,TRUE,11/18/2016,,Ambulatory Health Care Services,FixedVOIP,North Shore Dermatology,8475590090,Business,IL,TRUE,60062
1702 University Dr S,N/A,Consolidated Communications Enterprise Services,Fargo,TRUE,2/28/2019,,Ambulatory Health Care Services,NonFixedVOIP,"Kirsten Williams, Ph.D.",7013648900,Business,ND,TRUE,58103
101 W 8th Ave,15098388561,XO Communications,Spokane,TRUE,2/28/2019,,Ambulatory Health Care Services,NonFixedVOIP,"Carlson, Christel A MD",5094743131,Business,WA,TRUE,99204
15211 Vanowen St Ste 105,18183768614,Pacific Bell,Van Nuys,TRUE,11/18/2016,,Ambulatory Health Care Services,Landline,Healthline Medical Group,8187864910,Business,CA,TRUE,91405
140 Tindall Rd,17324609840,Level 3 Communications,Middletown,TRUE,6/7/2016,,Ambulatory Health Care Services,NonFixedVOIP,Mark Zaky MD,7326710860,Business,NJ,TRUE,7748
2340 Clay St Ste 114,16506001051,Pacific Bell,San Francisco,TRUE,3/30/2016,,Ambulatory Health Care Services,Landline,"Sheridan, Brett C",4156001051,Business,CA,TRUE, 94115
109 W Watauga Ave,18779289062,CenturyLink,Johnson City,TRUE,11/20/2016,,Ambulatory Health Care Services,Landline,Watauga Children & Youth Service,4232322700,Business,TN,TRUE,37604
1001 Towson Ave # 6,N/A,AT&T,Fort Smith,TRUE,2/28/2019,,Ambulatory Health Care Services,Landline,"Goodman, Amber PA",4794414000,Business,AR,TRUE,72901
5206 N Scottsdale Rd,N/A,Zipwhip US,Paradise Valley,TRUE,11/19/2016,,Ambulatory Health Care Services,NonFixedVOIP,Vandyke Laser & Skin,4809485045,Business,AZ,TRUE,85253
1166 NE Brown Dr,N/A,CenturyLink,Madras,TRUE,11/15/2016,,Ambulatory Health Care Services,Landline,Thomas Martin Manning MD,5415531196,Business,OR,TRUE,97741
190 Welles St,15702832323,Comcast,Kingston,TRUE,11/17/2016,,Hospitals,FixedVOIP,Eric C Burdge MD,5703317615,Business,PA,TRUE,18704
355 Lexington Ave FL 21,N/A,Broadview Networks,New York,TRUE,11/15/2016,,"Professional, Scientific, and Technical Services",NonFixedVOIP,Jacquelin Renee Walker,6462274900,Business,NY,TRUE,10017
1200 El Camino Real FL 3,16507423079,Pacific Bell,South San Francisco,TRUE,8/28/2018,,Ambulatory Health Care Services,Landline,Kaiser Permanente Medical Group,6507422000,Business,CA,TRUE,94080
101 The City Dr S,N/A,Pacific Bell,Orange,TRUE,8/28/2018,,Ambulatory Health Care Services,Landline,"De La Cruz, Cherish M",7144565705,Business,CA,TRUE,92868
41 Mall Rd,N/A,Verizon,Burlington,TRUE,8/28/2018,,Ambulatory Health Care Services,Landline,Lahey Clinic Inc,7817448000,Business,MA,TRUE,1805
